Feature 1 name;Feature 1 value;Feature 2 name;Feature 2 value;Target name;Target value
Phone Camera Megapixels;8.0;Phone Battery Capacity;2500.0;Phone Photo Quality;7.0
Phone Camera Megapixels;10.0;Phone Battery Capacity;2700.0;Phone Photo Quality;7.0
Phone Camera Megapixels;16.0;Phone Battery Capacity;3500.0;Phone Photo Quality;8.0
Phone Camera Megapixels;14.0;Phone Battery Capacity;3700.0;Phone Photo Quality;8.0
Phone Camera Megapixels;10.0;Phone Battery Capacity;3200.0;Phone Photo Quality;7.0
Phone Camera Megapixels;12.0;Phone Battery Capacity;3300.0;Phone Photo Quality;8.0
Phone Camera Megapixels;24.0;Phone Battery Capacity;4500.0;Phone Photo Quality;10.0
Phone Camera Megapixels;22.0;Phone Battery Capacity;4700.0;Phone Photo Quality;10.0
Phone Camera Megapixels;14.0;Phone Battery Capacity;3100.0;Phone Photo Quality;8.0
Phone Camera Megapixels;16.0;Phone Battery Capacity;3200.0;Phone Photo Quality;9.0
Phone Camera Megapixels;6.0;Phone Battery Capacity;2800.0;Phone Photo Quality;6.0
Phone Camera Megapixels;8.0;Phone Battery Capacity;2900.0;Phone Photo Quality;7.0
Phone Camera Megapixels;18.0;Phone Battery Capacity;4000.0;Phone Photo Quality;9.0
Phone Camera Megapixels;16.0;Phone Battery Capacity;4100.0;Phone Photo Quality;9.0
Phone Camera Megapixels;12.0;Phone Battery Capacity;3300.0;Phone Photo Quality;8.0
Phone Camera Megapixels;14.0;Phone Battery Capacity;3400.0;Phone Photo Quality;8.0
Plant Height;150.0;Plant Leaf Size;10.0;Plant Sunlight Needs;5.0
Plant Height;140.0;Plant Leaf Size;12.0;Plant Sunlight Needs;6.0
Plant Height;200.0;Plant Leaf Size;8.0;Plant Sunlight Needs;4.0
Plant Height;190.0;Plant Leaf Size;10.0;Plant Sunlight Needs;5.0
Plant Height;100.0;Plant Leaf Size;6.0;Plant Sunlight Needs;3.0
Plant Height;110.0;Plant Leaf Size;8.0;Plant Sunlight Needs;4.0
Plant Height;180.0;Plant Leaf Size;9.0;Plant Sunlight Needs;5.0
Plant Height;170.0;Plant Leaf Size;11.0;Plant Sunlight Needs;6.0
Plant Height;130.0;Plant Leaf Size;7.0;Plant Sunlight Needs;4.0
Plant Height;140.0;Plant Leaf Size;9.0;Plant Sunlight Needs;5.0
Plant Height;220.0;Plant Leaf Size;10.0;Plant Sunlight Needs;5.0
Plant Height;210.0;Plant Leaf Size;12.0;Plant Sunlight Needs;6.0
Plant Height;110.0;Plant Leaf Size;5.0;Plant Sunlight Needs;3.0
Plant Height;120.0;Plant Leaf Size;7.0;Plant Sunlight Needs;4.0
Plant Height;160.0;Plant Leaf Size;8.0;Plant Sunlight Needs;4.0
Plant Height;150.0;Plant Leaf Size;10.0;Plant Sunlight Needs;5.0
Plant Height;170.0;Plant Leaf Size;9.0;Plant Sunlight Needs;5.0
Plant Height;160.0;Plant Leaf Size;11.0;Plant Sunlight Needs;6.0
Plant Height;120.0;Plant Leaf Size;6.0;Plant Sunlight Needs;3.0
Plant Height;130.0;Plant Leaf Size;8.0;Plant Sunlight Needs;4.0
Dog Size;50.0;Dog Exercise Needs;2.0;Dog Activity Level;7.0
Dog Size;45.0;Dog Exercise Needs;3.0;Dog Activity Level;8.0
Dog Size;30.0;Dog Exercise Needs;1.0;Dog Activity Level;5.0
Dog Size;35.0;Dog Exercise Needs;2.0;Dog Activity Level;6.0
Dog Size;60.0;Dog Exercise Needs;4.0;Dog Activity Level;9.0
Dog Size;55.0;Dog Exercise Needs;5.0;Dog Activity Level;10.0
Dog Size;40.0;Dog Exercise Needs;2.0;Dog Activity Level;6.0
Dog Size;42.0;Dog Exercise Needs;3.0;Dog Activity Level;7.0
Dog Size;25.0;Dog Exercise Needs;1.0;Dog Activity Level;4.0
Dog Size;28.0;Dog Exercise Needs;2.0;Dog Activity Level;5.0
Dog Size;70.0;Dog Exercise Needs;5.0;Dog Activity Level;10.0
Dog Size;65.0;Dog Exercise Needs;6.0;Dog Activity Level;11.0
Dog Size;55.0;Dog Exercise Needs;3.0;Dog Activity Level;8.0
Dog Size;50.0;Dog Exercise Needs;4.0;Dog Activity Level;9.0
Dog Size;35.0;Dog Exercise Needs;2.0;Dog Activity Level;6.0
Dog Size;38.0;Dog Exercise Needs;3.0;Dog Activity Level;7.0
Dog Size;65.0;Dog Exercise Needs;4.0;Dog Activity Level;9.0
Dog Size;60.0;Dog Exercise Needs;5.0;Dog Activity Level;10.0
Dog Size;20.0;Dog Exercise Needs;1.0;Dog Activity Level;3.0
Dog Size;22.0;Dog Exercise Needs;2.0;Dog Activity Level;4.0
Coffee Caffeine Content;100.0;Coffee Richness;3.0;Energy Boost;7.0
Coffee Caffeine Content;90.0;Coffee Richness;4.0;Energy Boost;6.0
Coffee Caffeine Content;80.0;Coffee Richness;5.0;Energy Boost;8.0
Coffee Caffeine Content;70.0;Coffee Richness;6.0;Energy Boost;7.0
Coffee Caffeine Content;120.0;Coffee Richness;2.0;Energy Boost;6.0
Coffee Caffeine Content;110.0;Coffee Richness;3.0;Energy Boost;7.0
Coffee Caffeine Content;95.0;Coffee Richness;4.0;Energy Boost;7.0
Coffee Caffeine Content;85.0;Coffee Richness;5.0;Energy Boost;8.0
Coffee Caffeine Content;110.0;Coffee Richness;3.0;Energy Boost;6.0
Coffee Caffeine Content;100.0;Coffee Richness;4.0;Energy Boost;7.0
Coffee Caffeine Content;130.0;Coffee Richness;5.0;Energy Boost;9.0
Coffee Caffeine Content;120.0;Coffee Richness;6.0;Energy Boost;10.0
Coffee Caffeine Content;75.0;Coffee Richness;2.0;Energy Boost;5.0
Coffee Caffeine Content;80.0;Coffee Richness;3.0;Energy Boost;6.0
Coffee Caffeine Content;105.0;Coffee Richness;4.0;Energy Boost;7.0
Coffee Caffeine Content;95.0;Coffee Richness;5.0;Energy Boost;8.0
Coffee Caffeine Content;85.0;Coffee Richness;3.0;Energy Boost;6.0
Coffee Caffeine Content;90.0;Coffee Richness;4.0;Energy Boost;7.0
Coffee Caffeine Content;125.0;Coffee Richness;5.0;Energy Boost;8.0
Coffee Caffeine Content;115.0;Coffee Richness;6.0;Energy Boost;9.0
Shoe Weight;300.0;Shoe Armor;5.0;Comfort Level;7.0
Shoe Weight;280.0;Shoe Armor;6.0;Comfort Level;8.0
Shoe Weight;250.0;Shoe Armor;4.0;Comfort Level;6.0
Shoe Weight;230.0;Shoe Armor;5.0;Comfort Level;7.0
Shoe Weight;320.0;Shoe Armor;3.0;Comfort Level;5.0
Shoe Weight;300.0;Shoe Armor;4.0;Comfort Level;6.0
Shoe Weight;270.0;Shoe Armor;5.0;Comfort Level;7.0
Shoe Weight;250.0;Shoe Armor;6.0;Comfort Level;8.0
Shoe Weight;240.0;Shoe Armor;4.0;Comfort Level;6.0
Shoe Weight;220.0;Shoe Armor;5.0;Comfort Level;7.0
Shoe Weight;350.0;Shoe Armor;2.0;Comfort Level;4.0
Shoe Weight;330.0;Shoe Armor;3.0;Comfort Level;5.0
Shoe Weight;290.0;Shoe Armor;6.0;Comfort Level;8.0
Shoe Weight;270.0;Shoe Armor;7.0;Comfort Level;9.0
Shoe Weight;260.0;Shoe Armor;5.0;Comfort Level;7.0
Shoe Weight;240.0;Shoe Armor;6.0;Comfort Level;8.0
Shoe Weight;310.0;Shoe Armor;3.0;Comfort Level;5.0
Shoe Weight;290.0;Shoe Armor;4.0;Comfort Level;6.0
Shoe Weight;280.0;Shoe Armor;5.0;Comfort Level;7.0
Shoe Weight;260.0;Shoe Armor;6.0;Comfort Level;8.0
Phone Price;600.0;Phone Camera Megapixels;12.0;Photo Quality;8.0
Phone Price;550.0;Phone Camera Megapixels;14.0;Photo Quality;9.0
Phone Price;500.0;Phone Camera Megapixels;10.0;Photo Quality;7.0
Phone Price;480.0;Phone Camera Megapixels;12.0;Photo Quality;8.0
Phone Price;700.0;Phone Camera Megapixels;16.0;Photo Quality;9.0
Phone Price;680.0;Phone Camera Megapixels;18.0;Photo Quality;10.0
Phone Price;400.0;Phone Camera Megapixels;8.0;Photo Quality;6.0
Phone Price;420.0;Phone Camera Megapixels;10.0;Photo Quality;7.0
Phone Price;650.0;Phone Camera Megapixels;14.0;Photo Quality;8.0
Phone Price;630.0;Phone Camera Megapixels;16.0;Photo Quality;9.0
Phone Price;750.0;Phone Camera Megapixels;20.0;Photo Quality;10.0
Phone Price;730.0;Phone Camera Megapixels;22.0;Photo Quality;11.0
Phone Price;450.0;Phone Camera Megapixels;10.0;Photo Quality;7.0
Phone Price;470.0;Phone Camera Megapixels;12.0;Photo Quality;8.0
Phone Price;550.0;Phone Camera Megapixels;12.0;Photo Quality;8.0
Phone Price;530.0;Phone Camera Megapixels;14.0;Photo Quality;9.0
Phone Price;600.0;Phone Camera Megapixels;16.0;Photo Quality;9.0
Phone Price;580.0;Phone Camera Megapixels;18.0;Photo Quality;10.0
Phone Price;420.0;Phone Camera Megapixels;9.0;Photo Quality;6.0
Phone Price;440.0;Phone Camera Megapixels;11.0;Photo Quality;7.0
Book Thickness;30.0;Book Reading Level;3.0;Knowledge Content;6.0
Book Thickness;28.0;Book Reading Level;4.0;Knowledge Content;7.0
Book Thickness;40.0;Book Reading Level;5.0;Knowledge Content;8.0
Book Thickness;38.0;Book Reading Level;6.0;Knowledge Content;9.0
Book Thickness;20.0;Book Reading Level;2.0;Knowledge Content;4.0
Book Thickness;22.0;Book Reading Level;3.0;Knowledge Content;5.0
Book Thickness;35.0;Book Reading Level;4.0;Knowledge Content;7.0
Book Thickness;33.0;Book Reading Level;5.0;Knowledge Content;8.0
Book Thickness;25.0;Book Reading Level;3.0;Knowledge Content;5.0
Book Thickness;27.0;Book Reading Level;4.0;Knowledge Content;6.0
Book Thickness;45.0;Book Reading Level;6.0;Knowledge Content;9.0
Book Thickness;43.0;Book Reading Level;7.0;Knowledge Content;10.0
Book Thickness;32.0;Book Reading Level;4.0;Knowledge Content;7.0
Book Thickness;30.0;Book Reading Level;5.0;Knowledge Content;8.0
Book Thickness;28.0;Book Reading Level;2.0;Knowledge Content;4.0
Book Thickness;30.0;Book Reading Level;3.0;Knowledge Content;5.0
Book Thickness;38.0;Book Reading Level;5.0;Knowledge Content;8.0
Book Thickness;36.0;Book Reading Level;6.0;Knowledge Content;9.0
Book Thickness;22.0;Book Reading Level;3.0;Knowledge Content;5.0
Book Thickness;24.0;Book Reading Level;4.0;Knowledge Content;6.0
Bike Speed;25.0;Bike Weight;10.0;Distance Covered;50.0
Bike Speed;24.0;Bike Weight;11.0;Distance Covered;52.0
Bike Speed;28.0;Bike Weight;12.0;Distance Covered;55.0
Bike Speed;26.0;Bike Weight;13.0;Distance Covered;57.0
Bike Speed;20.0;Bike Weight;8.0;Distance Covered;45.0
Bike Speed;19.0;Bike Weight;9.0;Distance Covered;47.0
Bike Speed;27.0;Bike Weight;11.0;Distance Covered;54.0
Bike Speed;25.0;Bike Weight;12.0;Distance Covered;56.0
Bike Speed;22.0;Bike Weight;9.0;Distance Covered;48.0
Bike Speed;21.0;Bike Weight;10.0;Distance Covered;50.0
Bike Speed;30.0;Bike Weight;14.0;Distance Covered;60.0
Bike Speed;28.0;Bike Weight;15.0;Distance Covered;62.0
Bike Speed;24.0;Bike Weight;10.0;Distance Covered;50.0
Bike Speed;22.0;Bike Weight;11.0;Distance Covered;52.0
Bike Speed;26.0;Bike Weight;12.0;Distance Covered;55.0
Bike Speed;24.0;Bike Weight;13.0;Distance Covered;57.0
Bike Speed;21.0;Bike Weight;9.0;Distance Covered;47.0
Bike Speed;20.0;Bike Weight;10.0;Distance Covered;49.0
Bike Speed;23.0;Bike Weight;11.0;Distance Covered;51.0
Bike Speed;21.0;Bike Weight;12.0;Distance Covered;53.0
Number of Calories;300.0;Fat Content (g);10.0;Taste Rating (1-10);6.0
Number of Calories;200.0;Fat Content (g);15.0;Taste Rating (1-10);5.0
Number of Calories;250.0;Fat Content (g);8.0;Taste Rating (1-10);7.0
Number of Calories;180.0;Fat Content (g);12.0;Taste Rating (1-10);6.0
Number of Calories;400.0;Fat Content (g);12.0;Taste Rating (1-10);8.0
Number of Calories;350.0;Fat Content (g);16.0;Taste Rating (1-10);7.0
Number of Calories;150.0;Fat Content (g);6.0;Taste Rating (1-10);5.0
Number of Calories;120.0;Fat Content (g);9.0;Taste Rating (1-10);5.0
Number of Calories;320.0;Fat Content (g);14.0;Taste Rating (1-10);7.0
Number of Calories;280.0;Fat Content (g);10.0;Taste Rating (1-10);6.0
Number of Calories;220.0;Fat Content (g);7.0;Taste Rating (1-10);6.0
Number of Calories;190.0;Fat Content (g);11.0;Taste Rating (1-10);5.0
Number of Calories;280.0;Fat Content (g);10.0;Taste Rating (1-10);7.0
Number of Calories;260.0;Fat Content (g);13.0;Taste Rating (1-10);6.0
Number of Calories;310.0;Fat Content (g);11.0;Taste Rating (1-10);7.0
Number of Calories;290.0;Fat Content (g);15.0;Taste Rating (1-10);6.0
Number of Calories;270.0;Fat Content (g);9.0;Taste Rating (1-10);6.0
Number of Calories;240.0;Fat Content (g);12.0;Taste Rating (1-10);5.0
Number of Calories;330.0;Fat Content (g);13.0;Taste Rating (1-10);8.0
Number of Calories;300.0;Fat Content (g);17.0;Taste Rating (1-10);7.0
Engine Power (HP);250.0;Fuel Efficiency (MPG);20.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);300.0;Fuel Efficiency (MPG);15.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);320.0;Fuel Efficiency (MPG);18.0;Driving Satisfaction (1-10);8.0
Engine Power (HP);280.0;Fuel Efficiency (MPG);16.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);200.0;Fuel Efficiency (MPG);25.0;Driving Satisfaction (1-10);6.0
Engine Power (HP);220.0;Fuel Efficiency (MPG);22.0;Driving Satisfaction (1-10);6.0
Engine Power (HP);280.0;Fuel Efficiency (MPG);16.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);260.0;Fuel Efficiency (MPG);18.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);350.0;Fuel Efficiency (MPG);14.0;Driving Satisfaction (1-10);8.0
Engine Power (HP);330.0;Fuel Efficiency (MPG);12.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);240.0;Fuel Efficiency (MPG);22.0;Driving Satisfaction (1-10);6.0
Engine Power (HP);260.0;Fuel Efficiency (MPG);20.0;Driving Satisfaction (1-10);6.0
Engine Power (HP);300.0;Fuel Efficiency (MPG);17.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);280.0;Fuel Efficiency (MPG);19.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);270.0;Fuel Efficiency (MPG);19.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);250.0;Fuel Efficiency (MPG);21.0;Driving Satisfaction (1-10);6.0
Engine Power (HP);290.0;Fuel Efficiency (MPG);16.0;Driving Satisfaction (1-10);7.0
Engine Power (HP);270.0;Fuel Efficiency (MPG);18.0;Driving Satisfaction (1-10);6.0
Engine Power (HP);310.0;Fuel Efficiency (MPG);15.0;Driving Satisfaction (1-10);8.0
Engine Power (HP);290.0;Fuel Efficiency (MPG);17.0;Driving Satisfaction (1-10);7.0
Number of Reviews;100.0;Average Rating (1-5);4.5;Quality Perception (1-10);7.0
Number of Reviews;200.0;Average Rating (1-5);4.0;Quality Perception (1-10);7.0
Number of Reviews;150.0;Average Rating (1-5);4.2;Quality Perception (1-10);6.0
Number of Reviews;300.0;Average Rating (1-5);3.9;Quality Perception (1-10);6.0
Number of Reviews;50.0;Average Rating (1-5);4.7;Quality Perception (1-10);6.0
Number of Reviews;100.0;Average Rating (1-5);4.6;Quality Perception (1-10);6.0
Number of Reviews;250.0;Average Rating (1-5);4.3;Quality Perception (1-10);7.0
Number of Reviews;200.0;Average Rating (1-5);4.6;Quality Perception (1-10);7.0
Number of Reviews;300.0;Average Rating (1-5);4.1;Quality Perception (1-10);7.0
Number of Reviews;250.0;Average Rating (1-5);4.4;Quality Perception (1-10);7.0
Number of Reviews;120.0;Average Rating (1-5);4.6;Quality Perception (1-10);7.0
Number of Reviews;180.0;Average Rating (1-5);4.3;Quality Perception (1-10);6.0
Number of Reviews;180.0;Average Rating (1-5);4.4;Quality Perception (1-10);7.0
Number of Reviews;220.0;Average Rating (1-5);4.2;Quality Perception (1-10);6.0
Number of Reviews;200.0;Average Rating (1-5);4.5;Quality Perception (1-10);7.0
Number of Reviews;150.0;Average Rating (1-5);4.7;Quality Perception (1-10);6.0
Number of Reviews;170.0;Average Rating (1-5);4.3;Quality Perception (1-10);6.0
Number of Reviews;210.0;Average Rating (1-5);4.1;Quality Perception (1-10);6.0
Number of Reviews;220.0;Average Rating (1-5);4.2;Quality Perception (1-10);7.0
Number of Reviews;260.0;Average Rating (1-5);4.0;Quality Perception (1-10);6.0
Size (inches);55.0;Price ($);500.0;Value for Money (1-10);7.0
Size (inches);65.0;Price ($);700.0;Value for Money (1-10);6.0
Size (inches);60.0;Price ($);600.0;Value for Money (1-10);7.0
Size (inches);50.0;Price ($);550.0;Value for Money (1-10);6.0
Size (inches);40.0;Price ($);300.0;Value for Money (1-10);6.0
Size (inches);45.0;Price ($);350.0;Value for Money (1-10);6.0
Size (inches);70.0;Price ($);900.0;Value for Money (1-10);6.0
Size (inches);60.0;Price ($);800.0;Value for Money (1-10);6.0
Size (inches);55.0;Price ($);450.0;Value for Money (1-10);7.0
Size (inches);60.0;Price ($);500.0;Value for Money (1-10);7.0
Size (inches);45.0;Price ($);320.0;Value for Money (1-10);6.0
Size (inches);50.0;Price ($);340.0;Value for Money (1-10);6.0
Size (inches);65.0;Price ($);750.0;Value for Money (1-10);6.0
Size (inches);70.0;Price ($);850.0;Value for Money (1-10);6.0
Size (inches);50.0;Price ($);400.0;Value for Money (1-10);7.0
Size (inches);55.0;Price ($);450.0;Value for Money (1-10);7.0
Size (inches);60.0;Price ($);650.0;Value for Money (1-10);6.0
Size (inches);55.0;Price ($);600.0;Value for Money (1-10);6.0
Size (inches);40.0;Price ($);330.0;Value for Money (1-10);6.0
Size (inches);45.0;Price ($);360.0;Value for Money (1-10);6.0
Age (years);20.0;Training Hours;100.0;Athletic Performance (1-10);7.0
Age (years);25.0;Training Hours;80.0;Athletic Performance (1-10);6.0
Age (years);22.0;Training Hours;120.0;Athletic Performance (1-10);8.0
Age (years);28.0;Training Hours;90.0;Athletic Performance (1-10);6.0
Age (years);18.0;Training Hours;90.0;Athletic Performance (1-10);6.0
Age (years);24.0;Training Hours;70.0;Athletic Performance (1-10);5.0
Age (years);24.0;Training Hours;110.0;Athletic Performance (1-10);7.0
Age (years);26.0;Training Hours;95.0;Athletic Performance (1-10);6.0
Age (years);19.0;Training Hours;80.0;Athletic Performance (1-10);6.0
Age (years);23.0;Training Hours;60.0;Athletic Performance (1-10);5.0
Age (years);23.0;Training Hours;130.0;Athletic Performance (1-10);8.0
Age (years);27.0;Training Hours;100.0;Athletic Performance (1-10);7.0
Age (years);21.0;Training Hours;105.0;Athletic Performance (1-10);7.0
Age (years);25.0;Training Hours;85.0;Athletic Performance (1-10);6.0
Age (years);25.0;Training Hours;115.0;Athletic Performance (1-10);7.0
Age (years);29.0;Training Hours;95.0;Athletic Performance (1-10);6.0
Age (years);20.0;Training Hours;95.0;Athletic Performance (1-10);6.0
Age (years);24.0;Training Hours;75.0;Athletic Performance (1-10);5.0
Age (years);22.0;Training Hours;100.0;Athletic Performance (1-10);7.0
Age (years);26.0;Training Hours;80.0;Athletic Performance (1-10);6.0
Price ($);200.0;Warranty (years);3.0;Durability Perception (1-10);7.0
Price ($);250.0;Warranty (years);2.0;Durability Perception (1-10);6.0
Price ($);250.0;Warranty (years);4.0;Durability Perception (1-10);8.0
Price ($);300.0;Warranty (years);3.0;Durability Perception (1-10);7.0
Price ($);180.0;Warranty (years);2.0;Durability Perception (1-10);6.0
Price ($);220.0;Warranty (years);1.0;Durability Perception (1-10);5.0
Price ($);220.0;Warranty (years);3.0;Durability Perception (1-10);7.0
Price ($);240.0;Warranty (years);2.0;Durability Perception (1-10);6.0
Price ($);270.0;Warranty (years);5.0;Durability Perception (1-10);8.0
Price ($);300.0;Warranty (years);4.0;Durability Perception (1-10);7.0
Price ($);190.0;Warranty (years);2.0;Durability Perception (1-10);6.0
Price ($);210.0;Warranty (years);1.0;Durability Perception (1-10);5.0
Price ($);230.0;Warranty (years);4.0;Durability Perception (1-10);7.0
Price ($);260.0;Warranty (years);3.0;Durability Perception (1-10);6.0
Price ($);210.0;Warranty (years);3.0;Durability Perception (1-10);7.0
Price ($);240.0;Warranty (years);2.0;Durability Perception (1-10);6.0
Price ($);240.0;Warranty (years);4.0;Durability Perception (1-10);7.0
Price ($);270.0;Warranty (years);3.0;Durability Perception (1-10);6.0
Price ($);260.0;Warranty (years);5.0;Durability Perception (1-10);8.0
Price ($);300.0;Warranty (years);4.0;Durability Perception (1-10);7.0
Screen Size (inches);6.0;Battery Life (hours);30.0;Smartphone Satisfaction (1-10);7.0
Screen Size (inches);6.5;Battery Life (hours);25.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.5;Battery Life (hours);28.0;Smartphone Satisfaction (1-10);7.0
Screen Size (inches);7.0;Battery Life (hours);22.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);5.5;Battery Life (hours);35.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.0;Battery Life (hours);30.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);7.0;Battery Life (hours);26.0;Smartphone Satisfaction (1-10);7.0
Screen Size (inches);6.5;Battery Life (hours);28.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.0;Battery Life (hours);32.0;Smartphone Satisfaction (1-10);7.0
Screen Size (inches);6.5;Battery Life (hours);27.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);5.8;Battery Life (hours);34.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.2;Battery Life (hours);30.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.7;Battery Life (hours);24.0;Smartphone Satisfaction (1-10);7.0
Screen Size (inches);7.0;Battery Life (hours);20.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.2;Battery Life (hours);30.0;Smartphone Satisfaction (1-10);7.0
Screen Size (inches);6.5;Battery Life (hours);26.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);5.9;Battery Life (hours);33.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.3;Battery Life (hours);29.0;Smartphone Satisfaction (1-10);6.0
Screen Size (inches);6.5;Battery Life (hours);28.0;Smartphone Satisfaction (1-10);7.0
Screen Size (inches);7.0;Battery Life (hours);23.0;Smartphone Satisfaction (1-10);6.0
Number of Bedrooms;3.0;Square Feet;1500.0;Home Comfort (1-10);7.0
Number of Bedrooms;4.0;Square Feet;1400.0;Home Comfort (1-10);6.0
Number of Bedrooms;4.0;Square Feet;1600.0;Home Comfort (1-10);8.0
Number of Bedrooms;3.0;Square Feet;1500.0;Home Comfort (1-10);6.0
Number of Bedrooms;2.0;Square Feet;1300.0;Home Comfort (1-10);6.0
Number of Bedrooms;3.0;Square Feet;1200.0;Home Comfort (1-10);5.0
Number of Bedrooms;3.0;Square Feet;1400.0;Home Comfort (1-10);7.0
Number of Bedrooms;4.0;Square Feet;1300.0;Home Comfort (1-10);6.0
Number of Bedrooms;4.0;Square Feet;1700.0;Home Comfort (1-10);8.0
Number of Bedrooms;3.0;Square Feet;1600.0;Home Comfort (1-10);6.0
Number of Bedrooms;2.0;Square Feet;1200.0;Home Comfort (1-10);5.0
Number of Bedrooms;3.0;Square Feet;1100.0;Home Comfort (1-10);5.0
Number of Bedrooms;3.0;Square Feet;1550.0;Home Comfort (1-10);7.0
Number of Bedrooms;4.0;Square Feet;1450.0;Home Comfort (1-10);6.0
Number of Bedrooms;4.0;Square Feet;1650.0;Home Comfort (1-10);8.0
Number of Bedrooms;3.0;Square Feet;1550.0;Home Comfort (1-10);6.0
Number of Bedrooms;2.0;Square Feet;1250.0;Home Comfort (1-10);5.0
Number of Bedrooms;3.0;Square Feet;1150.0;Home Comfort (1-10);5.0
Number of Bedrooms;3.0;Square Feet;1450.0;Home Comfort (1-10);7.0
Number of Bedrooms;4.0;Square Feet;1350.0;Home Comfort (1-10);6.0
Weight (kg);70.0;Height (cm);175.0;Physical Fitness (1-10);7.0
Weight (kg);75.0;Height (cm);170.0;Physical Fitness (1-10);6.0
Weight (kg);65.0;Height (cm);180.0;Physical Fitness (1-10);7.0
