Feature 1 name;Feature 1 value;Feature 2 name;Feature 2 value;Target name;Target value
Plant Height (cm);40.0;Sunlight (hours/day);5;Growth Rate (cm/week);5.0
Phone Battery (mAh);3000.0;Screen Brightness (%);70;Battery Life (hours);8.0
Phone Battery (mAh);4000.0;Screen Brightness (%);60;Battery Life (hours);10.0
Phone Battery (mAh);4000.0;Screen Brightness (%);60;Battery Life (hours);10.0
Phone Battery (mAh);3000.0;Screen Brightness (%);70;Battery Life (hours);8.0
Phone Battery (mAh);2500.0;Screen Brightness (%);80;Battery Life (hours);6.0
Phone Battery (mAh);3500.0;Screen Brightness (%);70;Battery Life (hours);8.0
Phone Battery (mAh);3500.0;Screen Brightness (%);70;Battery Life (hours);9.0
Phone Battery (mAh);4500.0;Screen Brightness (%);60;Battery Life (hours);11.0
Phone Battery (mAh);4000.0;Screen Brightness (%);80;Battery Life (hours);9.0
Phone Battery (mAh);3000.0;Screen Brightness (%);70;Battery Life (hours);8.0
Phone Battery (mAh);2000.0;Screen Brightness (%);70;Battery Life (hours);5.0
Phone Battery (mAh);3000.0;Screen Brightness (%);60;Battery Life (hours);7.0
Phone Battery (mAh);3500.0;Screen Brightness (%);60;Battery Life (hours);9.0
Phone Battery (mAh);4500.0;Screen Brightness (%);70;Battery Life (hours);10.0
Phone Battery (mAh);4500.0;Screen Brightness (%);70;Battery Life (hours);10.0
Phone Battery (mAh);3500.0;Screen Brightness (%);60;Battery Life (hours);9.0
Phone Battery (mAh);3000.0;Screen Brightness (%);60;Battery Life (hours);8.0
Phone Battery (mAh);4000.0;Screen Brightness (%);70;Battery Life (hours);9.0
Phone Battery (mAh);2500.0;Screen Brightness (%);60;Battery Life (hours);6.0
Phone Battery (mAh);3500.0;Screen Brightness (%);70;Battery Life (hours);8.0
Room Size (m2);20.0;Number of Windows;2;Cooling Time (min);15.0
Room Size (m2);30.0;Number of Windows;3;Cooling Time (min);12.0
Room Size (m2);30.0;Number of Windows;3;Cooling Time (min);12.0
Room Size (m2);20.0;Number of Windows;2;Cooling Time (min);15.0
Room Size (m2);25.0;Number of Windows;1;Cooling Time (min);18.0
Room Size (m2);35.0;Number of Windows;2;Cooling Time (min);14.0
Room Size (m2);35.0;Number of Windows;2;Cooling Time (min);14.0
Room Size (m2);25.0;Number of Windows;1;Cooling Time (min);18.0
Room Size (m2);40.0;Number of Windows;4;Cooling Time (min);10.0
Room Size (m2);30.0;Number of Windows;3;Cooling Time (min);12.0
Room Size (m2);25.0;Number of Windows;3;Cooling Time (min);13.0
Room Size (m2);35.0;Number of Windows;4;Cooling Time (min);11.0
Room Size (m2);30.0;Number of Windows;2;Cooling Time (min);14.0
Room Size (m2);40.0;Number of Windows;3;Cooling Time (min);11.0
Room Size (m2);40.0;Number of Windows;3;Cooling Time (min);11.0
Room Size (m2);30.0;Number of Windows;2;Cooling Time (min);14.0
Room Size (m2);20.0;Number of Windows;1;Cooling Time (min);20.0
Room Size (m2);30.0;Number of Windows;2;Cooling Time (min);15.0
Room Size (m2);30.0;Number of Windows;2;Cooling Time (min);15.0
Room Size (m2);40.0;Number of Windows;3;Cooling Time (min);11.0
Bag Weight (kg);2.0;Number of Compartments;3;Ease of Use (1-10);8.0
Bag Weight (kg);3.0;Number of Compartments;5;Ease of Use (1-10);7.0
Bag Weight (kg);3.0;Number of Compartments;5;Ease of Use (1-10);7.0
Bag Weight (kg);2.0;Number of Compartments;3;Ease of Use (1-10);8.0
Bag Weight (kg);1.5;Number of Compartments;2;Ease of Use (1-10);9.0
Bag Weight (kg);2.5;Number of Compartments;4;Ease of Use (1-10);7.0
Bag Weight (kg);2.5;Number of Compartments;4;Ease of Use (1-10);7.0
Bag Weight (kg);1.5;Number of Compartments;2;Ease of Use (1-10);9.0
Bag Weight (kg);4.0;Number of Compartments;6;Ease of Use (1-10);5.0
Bag Weight (kg);3.0;Number of Compartments;5;Ease of Use (1-10);6.0
Bag Weight (kg);3.0;Number of Compartments;5;Ease of Use (1-10);6.0
Bag Weight (kg);4.0;Number of Compartments;6;Ease of Use (1-10);5.0
Bag Weight (kg);2.0;Number of Compartments;2;Ease of Use (1-10);8.0
Bag Weight (kg);3.0;Number of Compartments;4;Ease of Use (1-10);7.0
Bag Weight (kg);3.0;Number of Compartments;4;Ease of Use (1-10);7.0
Bag Weight (kg);2.0;Number of Compartments;2;Ease of Use (1-10);8.0
Bag Weight (kg);1.5;Number of Compartments;1;Ease of Use (1-10);9.0
Bag Weight (kg);2.5;Number of Compartments;3;Ease of Use (1-10);8.0
Bag Weight (kg);2.5;Number of Compartments;3;Ease of Use (1-10);8.0
Bag Weight (kg);1.5;Number of Compartments;1;Ease of Use (1-10);9.0
Shoe Width (cm);9.0;Arch Support (1-10);6;Comfort (1-10);8.0
Shoe Width (cm);10.0;Arch Support (1-10);5;Comfort (1-10);7.0
Shoe Width (cm);10.0;Arch Support (1-10);5;Comfort (1-10);7.0
Shoe Width (cm);9.0;Arch Support (1-10);6;Comfort (1-10);8.0
Shoe Width (cm);8.0;Arch Support (1-10);7;Comfort (1-10);9.0
Shoe Width (cm);9.0;Arch Support (1-10);6;Comfort (1-10);8.0
Shoe Width (cm);9.0;Arch Support (1-10);6;Comfort (1-10);8.0
Shoe Width (cm);8.0;Arch Support (1-10);7;Comfort (1-10);9.0
Shoe Width (cm);10.0;Arch Support (1-10);4;Comfort (1-10);7.0
Shoe Width (cm);9.0;Arch Support (1-10);5;Comfort (1-10);8.0
Shoe Width (cm);9.0;Arch Support (1-10);5;Comfort (1-10);8.0
Shoe Width (cm);10.0;Arch Support (1-10);4;Comfort (1-10);7.0
Shoe Width (cm);8.0;Arch Support (1-10);8;Comfort (1-10);9.0
Shoe Width (cm);9.0;Arch Support (1-10);7;Comfort (1-10);8.0
Shoe Width (cm);9.0;Arch Support (1-10);7;Comfort (1-10);8.0
Shoe Width (cm);8.0;Arch Support (1-10);8;Comfort (1-10);9.0
Shoe Width (cm);10.0;Arch Support (1-10);6;Comfort (1-10);7.0
Shoe Width (cm);9.0;Arch Support (1-10);5;Comfort (1-10);8.0
Shoe Width (cm);9.0;Arch Support (1-10);5;Comfort (1-10);8.0
Shoe Width (cm);10.0;Arch Support (1-10);6;Comfort (1-10);7.0
Car Engine Power;200.0;Car Weight;2000;Car Speed;180.0
Car Engine Power;150.0;Car Weight;1800;Car Speed;150.0
Car Engine Power;250.0;Car Weight;2200;Car Speed;190.0
Car Engine Power;200.0;Car Weight;2000;Car Speed;180.0
Car Engine Power;300.0;Car Weight;2500;Car Speed;200.0
Car Engine Power;250.0;Car Weight;2200;Car Speed;190.0
Car Engine Power;350.0;Car Weight;2800;Car Speed;210.0
Car Engine Power;300.0;Car Weight;2500;Car Speed;200.0
Car Engine Power;400.0;Car Weight;3000;Car Speed;220.0
Car Engine Power;350.0;Car Weight;2800;Car Speed;210.0
Car Engine Power;450.0;Car Weight;3200;Car Speed;230.0
Car Engine Power;400.0;Car Weight;3000;Car Speed;220.0
Car Engine Power;500.0;Car Weight;3500;Car Speed;240.0
Car Engine Power;450.0;Car Weight;3200;Car Speed;230.0
Car Engine Power;550.0;Car Weight;3700;Car Speed;250.0
Car Engine Power;500.0;Car Weight;3500;Car Speed;240.0
Car Engine Power;600.0;Car Weight;4000;Car Speed;260.0
Car Engine Power;550.0;Car Weight;3700;Car Speed;250.0
Car Engine Power;650.0;Car Weight;4200;Car Speed;270.0
Car Engine Power;600.0;Car Weight;4000;Car Speed;260.0
Student Study Hours;10.0;Student Distractions;2;Student Exam Score;85.0
Student Study Hours;8.0;Student Distractions;3;Student Exam Score;80.0
Student Study Hours;12.0;Student Distractions;1;Student Exam Score;88.0
Student Study Hours;10.0;Student Distractions;2;Student Exam Score;85.0
Student Study Hours;14.0;Student Distractions;0;Student Exam Score;90.0
Student Study Hours;12.0;Student Distractions;1;Student Exam Score;88.0
Student Study Hours;8.0;Student Distractions;4;Student Exam Score;78.0
Student Study Hours;6.0;Student Distractions;5;Student Exam Score;75.0
Student Study Hours;6.0;Student Distractions;5;Student Exam Score;75.0
Student Study Hours;4.0;Student Distractions;6;Student Exam Score;72.0
Student Study Hours;4.0;Student Distractions;6;Student Exam Score;72.0
Student Study Hours;2.0;Student Distractions;7;Student Exam Score;70.0
Student Study Hours;2.0;Student Distractions;7;Student Exam Score;70.0
Student Study Hours;0.0;Student Distractions;8;Student Exam Score;65.0
Student Study Hours;16.0;Student Distractions;0;Student Exam Score;92.0
Student Study Hours;14.0;Student Distractions;0;Student Exam Score;90.0
Student Study Hours;18.0;Student Distractions;1;Student Exam Score;93.0
Student Study Hours;16.0;Student Distractions;0;Student Exam Score;92.0
Student Study Hours;20.0;Student Distractions;2;Student Exam Score;94.0
Student Study Hours;18.0;Student Distractions;1;Student Exam Score;93.0
House Square Feet;2000.0;House Age;10;House Price;350000.0
House Square Feet;1800.0;House Age;15;House Price;300000.0
House Square Feet;2200.0;House Age;8;House Price;380000.0
House Square Feet;2000.0;House Age;10;House Price;350000.0
House Square Feet;2400.0;House Age;5;House Price;400000.0
House Square Feet;2200.0;House Age;8;House Price;380000.0
House Square Feet;1600.0;House Age;20;House Price;280000.0
House Square Feet;1400.0;House Age;25;House Price;250000.0
House Square Feet;1400.0;House Age;25;House Price;250000.0
House Square Feet;1200.0;House Age;30;House Price;220000.0
House Square Feet;1200.0;House Age;30;House Price;220000.0
House Square Feet;1000.0;House Age;35;House Price;200000.0
House Square Feet;1000.0;House Age;35;House Price;200000.0
House Square Feet;800.0;House Age;40;House Price;180000.0
House Square Feet;2600.0;House Age;3;House Price;420000.0
House Square Feet;2400.0;House Age;5;House Price;400000.0
House Square Feet;2800.0;House Age;2;House Price;440000.0
House Square Feet;2600.0;House Age;3;House Price;420000.0
House Square Feet;3000.0;House Age;1;House Price;460000.0
House Square Feet;2800.0;House Age;2;House Price;440000.0
Recipe Ingredient Quality;9.0;Recipe Preparation Time;30;Recipe Taste Score;8.0
Recipe Ingredient Quality;7.0;Recipe Preparation Time;45;Recipe Taste Score;7.0
Recipe Ingredient Quality;8.0;Recipe Preparation Time;40;Recipe Taste Score;7.5
Recipe Ingredient Quality;6.0;Recipe Preparation Time;50;Recipe Taste Score;7.0
Recipe Ingredient Quality;7.0;Recipe Preparation Time;50;Recipe Taste Score;7.0
Recipe Ingredient Quality;5.0;Recipe Preparation Time;60;Recipe Taste Score;6.5
Recipe Ingredient Quality;10.0;Recipe Preparation Time;20;Recipe Taste Score;8.5
Recipe Ingredient Quality;8.0;Recipe Preparation Time;30;Recipe Taste Score;8.0
Recipe Ingredient Quality;6.0;Recipe Preparation Time;60;Recipe Taste Score;6.5
Recipe Ingredient Quality;4.0;Recipe Preparation Time;70;Recipe Taste Score;6.0
Recipe Ingredient Quality;5.0;Recipe Preparation Time;70;Recipe Taste Score;6.0
Recipe Ingredient Quality;3.0;Recipe Preparation Time;80;Recipe Taste Score;5.5
Recipe Ingredient Quality;4.0;Recipe Preparation Time;80;Recipe Taste Score;5.5
Recipe Ingredient Quality;2.0;Recipe Preparation Time;90;Recipe Taste Score;5.0
Recipe Ingredient Quality;3.0;Recipe Preparation Time;90;Recipe Taste Score;5.0
Recipe Ingredient Quality;1.0;Recipe Preparation Time;100;Recipe Taste Score;4.5
Recipe Ingredient Quality;10.0;Recipe Preparation Time;10;Recipe Taste Score;9.0
Recipe Ingredient Quality;9.0;Recipe Preparation Time;20;Recipe Taste Score;8.5
Recipe Ingredient Quality;9.0;Recipe Preparation Time;20;Recipe Taste Score;8.5
Recipe Ingredient Quality;8.0;Recipe Preparation Time;30;Recipe Taste Score;8.0
Book Page Count;400.0;Book Reading Speed;30;Book Enjoyment Score;8.2
Book Page Count;300.0;Book Reading Speed;40;Book Enjoyment Score;7.8
Book Page Count;500.0;Book Reading Speed;25;Book Enjoyment Score;8.5
Book Page Count;400.0;Book Reading Speed;30;Book Enjoyment Score;8.2
Book Page Count;600.0;Book Reading Speed;20;Book Enjoyment Score;8.8
Book Page Count;500.0;Book Reading Speed;25;Book Enjoyment Score;8.5
Book Page Count;300.0;Book Reading Speed;50;Book Enjoyment Score;7.5
Book Page Count;200.0;Book Reading Speed;60;Book Enjoyment Score;7.2
Book Page Count;200.0;Book Reading Speed;60;Book Enjoyment Score;7.2
Book Page Count;100.0;Book Reading Speed;70;Book Enjoyment Score;7.0
Book Page Count;100.0;Book Reading Speed;70;Book Enjoyment Score;7.0
Book Page Count;50.0;Book Reading Speed;80;Book Enjoyment Score;6.8
Book Page Count;50.0;Book Reading Speed;80;Book Enjoyment Score;6.8
Book Page Count;25.0;Book Reading Speed;90;Book Enjoyment Score;6.5
Book Page Count;600.0;Book Reading Speed;15;Book Enjoyment Score;9.0
Book Page Count;500.0;Book Reading Speed;20;Book Enjoyment Score;8.8
Book Page Count;700.0;Book Reading Speed;10;Book Enjoyment Score;9.2
Book Page Count;600.0;Book Reading Speed;15;Book Enjoyment Score;9.0
Book Page Count;800.0;Book Reading Speed;5;Book Enjoyment Score;9.5
Book Page Count;700.0;Book Reading Speed;10;Book Enjoyment Score;9.2
Phone Processor Speed;3.5;Phone Battery Capacity;4000;Phone Performance Score;8.7
Phone Processor Speed;3.0;Phone Battery Capacity;4500;Phone Performance Score;8.5
Phone Processor Speed;4.0;Phone Battery Capacity;3500;Phone Performance Score;9.0
Phone Processor Speed;3.5;Phone Battery Capacity;4000;Phone Performance Score;8.7
Phone Processor Speed;4.5;Phone Battery Capacity;3000;Phone Performance Score;9.3
Phone Processor Speed;4.0;Phone Battery Capacity;3500;Phone Performance Score;9.0
Phone Processor Speed;3.0;Phone Battery Capacity;5000;Phone Performance Score;8.4
Phone Processor Speed;2.5;Phone Battery Capacity;5500;Phone Performance Score;8.2
Phone Processor Speed;2.5;Phone Battery Capacity;5500;Phone Performance Score;8.2
Phone Processor Speed;2.0;Phone Battery Capacity;6000;Phone Performance Score;8.0
Phone Processor Speed;2.0;Phone Battery Capacity;6000;Phone Performance Score;8.0
Phone Processor Speed;1.5;Phone Battery Capacity;6500;Phone Performance Score;7.8
Phone Processor Speed;1.5;Phone Battery Capacity;6500;Phone Performance Score;7.8
Phone Processor Speed;1.0;Phone Battery Capacity;7000;Phone Performance Score;7.5
Phone Processor Speed;5.0;Phone Battery Capacity;2500;Phone Performance Score;9.6
Phone Processor Speed;4.5;Phone Battery Capacity;3000;Phone Performance Score;9.3
Phone Processor Speed;5.5;Phone Battery Capacity;2000;Phone Performance Score;9.9
Phone Processor Speed;5.0;Phone Battery Capacity;2500;Phone Performance Score;9.6
Phone Processor Speed;6.0;Phone Battery Capacity;1500;Phone Performance Score;10.2
Phone Processor Speed;5.5;Phone Battery Capacity;2000;Phone Performance Score;9.9
Restaurant Menu Variety;50.0;Restaurant Wait Time;15;Restaurant Rating;4.2
Restaurant Menu Variety;40.0;Restaurant Wait Time;20;Restaurant Rating;4.0
Restaurant Menu Variety;60.0;Restaurant Wait Time;10;Restaurant Rating;4.5
Restaurant Menu Variety;50.0;Restaurant Wait Time;15;Restaurant Rating;4.2
Restaurant Menu Variety;70.0;Restaurant Wait Time;5;Restaurant Rating;4.8
Restaurant Menu Variety;60.0;Restaurant Wait Time;10;Restaurant Rating;4.5
Restaurant Menu Variety;40.0;Restaurant Wait Time;25;Restaurant Rating;3.8
Restaurant Menu Variety;30.0;Restaurant Wait Time;30;Restaurant Rating;3.6
Restaurant Menu Variety;30.0;Restaurant Wait Time;30;Restaurant Rating;3.6
Restaurant Menu Variety;20.0;Restaurant Wait Time;35;Restaurant Rating;3.4
Restaurant Menu Variety;20.0;Restaurant Wait Time;35;Restaurant Rating;3.4
Restaurant Menu Variety;10.0;Restaurant Wait Time;40;Restaurant Rating;3.2
Restaurant Menu Variety;10.0;Restaurant Wait Time;40;Restaurant Rating;3.2
Restaurant Menu Variety;0.0;Restaurant Wait Time;45;Restaurant Rating;3.0
Restaurant Menu Variety;80.0;Restaurant Wait Time;0;Restaurant Rating;5.0
Restaurant Menu Variety;70.0;Restaurant Wait Time;5;Restaurant Rating;4.8
Restaurant Menu Variety;90.0;Restaurant Wait Time;0;Restaurant Rating;5.2
Restaurant Menu Variety;80.0;Restaurant Wait Time;0;Restaurant Rating;5.0
Restaurant Menu Variety;100.0;Restaurant Wait Time;0;Restaurant Rating;5.4
Restaurant Menu Variety;90.0;Restaurant Wait Time;0;Restaurant Rating;5.2
Dog Training Hours;10.0;Dog Distractions;2;Dog Obedience Score;8.5
Dog Training Hours;8.0;Dog Distractions;3;Dog Obedience Score;8.0
Dog Training Hours;12.0;Dog Distractions;1;Dog Obedience Score;8.8
Dog Training Hours;10.0;Dog Distractions;2;Dog Obedience Score;8.5
Dog Training Hours;14.0;Dog Distractions;0;Dog Obedience Score;9.0
Dog Training Hours;12.0;Dog Distractions;1;Dog Obedience Score;8.8
Dog Training Hours;8.0;Dog Distractions;4;Dog Obedience Score;7.8
Dog Training Hours;6.0;Dog Distractions;5;Dog Obedience Score;7.5
Dog Training Hours;6.0;Dog Distractions;5;Dog Obedience Score;7.5
Dog Training Hours;4.0;Dog Distractions;6;Dog Obedience Score;7.2
Dog Training Hours;4.0;Dog Distractions;6;Dog Obedience Score;7.2
Dog Training Hours;2.0;Dog Distractions;7;Dog Obedience Score;7.0
Dog Training Hours;2.0;Dog Distractions;7;Dog Obedience Score;7.0
Dog Training Hours;0.0;Dog Distractions;8;Dog Obedience Score;6.5
Dog Training Hours;16.0;Dog Distractions;0;Dog Obedience Score;9.2
Dog Training Hours;14.0;Dog Distractions;0;Dog Obedience Score;9.0
Dog Training Hours;18.0;Dog Distractions;1;Dog Obedience Score;9.3
Dog Training Hours;16.0;Dog Distractions;0;Dog Obedience Score;9.2
Dog Training Hours;20.0;Dog Distractions;2;Dog Obedience Score;9.4
Dog Training Hours;18.0;Dog Distractions;1;Dog Obedience Score;9.3
Exercise Intensity;7.0;Exercise Duration;30;Exercise Burned Calories;300.0
Exercise Intensity;6.0;Exercise Duration;40;Exercise Burned Calories;280.0
Exercise Intensity;8.0;Exercise Duration;25;Exercise Burned Calories;320.0
Exercise Intensity;7.0;Exercise Duration;30;Exercise Burned Calories;300.0
Exercise Intensity;9.0;Exercise Duration;20;Exercise Burned Calories;340.0
Exercise Intensity;8.0;Exercise Duration;25;Exercise Burned Calories;320.0
