Feature 1 name,Feature 1 value,Feature 2 name,Feature 2 value,Target name,Target value,task_id,trial_id
Phone Battery (mAh),3000.0,Screen Brightness (%),60,Battery Life (hours),8.0,3,17
Phone Battery (mAh),4000.0,Screen Brightness (%),70,Battery Life (hours),9.0,3,18
Phone Battery (mAh),2500.0,Screen Brightness (%),60,Battery Life (hours),6.0,3,19
Phone Battery (mAh),3500.0,Screen Brightness (%),70,Battery Life (hours),8.0,3,20
Room Size (m2),20.0,Number of Windows,2,Cooling Time (min),15.0,4,1
Room Size (m2),30.0,Number of Windows,3,Cooling Time (min),12.0,4,2
Room Size (m2),30.0,Number of Windows,3,Cooling Time (min),12.0,4,3
Room Size (m2),20.0,Number of Windows,2,Cooling Time (min),15.0,4,4
Room Size (m2),25.0,Number of Windows,1,Cooling Time (min),18.0,4,5
Room Size (m2),35.0,Number of Windows,2,Cooling Time (min),14.0,4,6
Room Size (m2),35.0,Number of Windows,2,Cooling Time (min),14.0,4,7
Room Size (m2),25.0,Number of Windows,1,Cooling Time (min),18.0,4,8
Room Size (m2),40.0,Number of Windows,4,Cooling Time (min),10.0,4,9
Room Size (m2),30.0,Number of Windows,3,Cooling Time (min),12.0,4,10
Room Size (m2),25.0,Number of Windows,3,Cooling Time (min),13.0,4,11
Room Size (m2),35.0,Number of Windows,4,Cooling Time (min),11.0,4,12
Room Size (m2),30.0,Number of Windows,2,Cooling Time (min),14.0,4,13
Room Size (m2),40.0,Number of Windows,3,Cooling Time (min),11.0,4,14
Room Size (m2),40.0,Number of Windows,3,Cooling Time (min),11.0,4,15
Room Size (m2),30.0,Number of Windows,2,Cooling Time (min),14.0,4,16
Room Size (m2),20.0,Number of Windows,1,Cooling Time (min),20.0,4,17
Room Size (m2),30.0,Number of Windows,2,Cooling Time (min),15.0,4,18
Room Size (m2),30.0,Number of Windows,2,Cooling Time (min),15.0,4,19
Room Size (m2),40.0,Number of Windows,3,Cooling Time (min),11.0,4,20
Shoe Width (cm),9.0,Arch Support (1-10),6,Comfort (1-10),8.0,5,1
Shoe Width (cm),10.0,Arch Support (1-10),5,Comfort (1-10),7.0,5,2
Shoe Width (cm),10.0,Arch Support (1-10),5,Comfort (1-10),7.0,5,3
Shoe Width (cm),9.0,Arch Support (1-10),6,Comfort (1-10),8.0,5,4
Shoe Width (cm),8.0,Arch Support (1-10),7,Comfort (1-10),9.0,5,5
Shoe Width (cm),9.0,Arch Support (1-10),6,Comfort (1-10),8.0,5,6
Shoe Width (cm),9.0,Arch Support (1-10),6,Comfort (1-10),8.0,5,7
Shoe Width (cm),8.0,Arch Support (1-10),7,Comfort (1-10),9.0,5,8
Shoe Width (cm),10.0,Arch Support (1-10),4,Comfort (1-10),7.0,5,9
Shoe Width (cm),9.0,Arch Support (1-10),5,Comfort (1-10),8.0,5,10
Shoe Width (cm),9.0,Arch Support (1-10),5,Comfort (1-10),8.0,5,11
Shoe Width (cm),10.0,Arch Support (1-10),4,Comfort (1-10),7.0,5,12
Shoe Width (cm),8.0,Arch Support (1-10),8,Comfort (1-10),9.0,5,13
Shoe Width (cm),9.0,Arch Support (1-10),7,Comfort (1-10),8.0,5,14
Shoe Width (cm),9.0,Arch Support (1-10),7,Comfort (1-10),8.0,5,15
Shoe Width (cm),8.0,Arch Support (1-10),8,Comfort (1-10),9.0,5,16
Shoe Width (cm),10.0,Arch Support (1-10),6,Comfort (1-10),7.0,5,17
Shoe Width (cm),9.0,Arch Support (1-10),5,Comfort (1-10),8.0,5,18
Shoe Width (cm),9.0,Arch Support (1-10),5,Comfort (1-10),8.0,5,19
Shoe Width (cm),10.0,Arch Support (1-10),6,Comfort (1-10),7.0,5,20
Student Study Hours,10.0,Student Distractions,2,Student Exam Score,85.0,6,1
Student Study Hours,8.0,Student Distractions,3,Student Exam Score,80.0,6,2
Student Study Hours,12.0,Student Distractions,1,Student Exam Score,88.0,6,3
Student Study Hours,10.0,Student Distractions,2,Student Exam Score,85.0,6,4
Student Study Hours,14.0,Student Distractions,0,Student Exam Score,90.0,6,5
Student Study Hours,12.0,Student Distractions,1,Student Exam Score,88.0,6,6
Student Study Hours,8.0,Student Distractions,4,Student Exam Score,78.0,6,7
Student Study Hours,6.0,Student Distractions,5,Student Exam Score,75.0,6,8
Student Study Hours,6.0,Student Distractions,5,Student Exam Score,75.0,6,9
Student Study Hours,4.0,Student Distractions,6,Student Exam Score,72.0,6,10
Student Study Hours,4.0,Student Distractions,6,Student Exam Score,72.0,6,11
Student Study Hours,2.0,Student Distractions,7,Student Exam Score,70.0,6,12
Student Study Hours,2.0,Student Distractions,7,Student Exam Score,70.0,6,13
Student Study Hours,0.0,Student Distractions,8,Student Exam Score,65.0,6,14
Student Study Hours,16.0,Student Distractions,0,Student Exam Score,92.0,6,15
Student Study Hours,14.0,Student Distractions,0,Student Exam Score,90.0,6,16
Student Study Hours,18.0,Student Distractions,1,Student Exam Score,93.0,6,17
Student Study Hours,16.0,Student Distractions,0,Student Exam Score,92.0,6,18
Student Study Hours,20.0,Student Distractions,2,Student Exam Score,94.0,6,19
Student Study Hours,18.0,Student Distractions,1,Student Exam Score,93.0,6,20
House Square Feet,2000.0,House Age,10,House Price,350000.0,7,1
House Square Feet,1800.0,House Age,15,House Price,300000.0,7,2
House Square Feet,2200.0,House Age,8,House Price,380000.0,7,3
House Square Feet,2000.0,House Age,10,House Price,350000.0,7,4
House Square Feet,2400.0,House Age,5,House Price,400000.0,7,5
House Square Feet,2200.0,House Age,8,House Price,380000.0,7,6
House Square Feet,1600.0,House Age,20,House Price,280000.0,7,7
House Square Feet,1400.0,House Age,25,House Price,250000.0,7,8
House Square Feet,1400.0,House Age,25,House Price,250000.0,7,9
House Square Feet,1200.0,House Age,30,House Price,220000.0,7,10
House Square Feet,1200.0,House Age,30,House Price,220000.0,7,11
House Square Feet,1000.0,House Age,35,House Price,200000.0,7,12
House Square Feet,1000.0,House Age,35,House Price,200000.0,7,13
House Square Feet,800.0,House Age,40,House Price,180000.0,7,14
House Square Feet,2600.0,House Age,3,House Price,420000.0,7,15
House Square Feet,2400.0,House Age,5,House Price,400000.0,7,16
House Square Feet,2800.0,House Age,2,House Price,440000.0,7,17
House Square Feet,2600.0,House Age,3,House Price,420000.0,7,18
House Square Feet,3000.0,House Age,1,House Price,460000.0,7,19
House Square Feet,2800.0,House Age,2,House Price,440000.0,7,20
Phone Processor Speed,3.5,Phone Battery Capacity,4000,Phone Performance Score,8.7,8,1
Phone Processor Speed,3.0,Phone Battery Capacity,4500,Phone Performance Score,8.5,8,2
Phone Processor Speed,4.0,Phone Battery Capacity,3500,Phone Performance Score,9.0,8,3
Phone Processor Speed,3.5,Phone Battery Capacity,4000,Phone Performance Score,8.7,8,4
Phone Processor Speed,4.5,Phone Battery Capacity,3000,Phone Performance Score,9.3,8,5
Phone Processor Speed,4.0,Phone Battery Capacity,3500,Phone Performance Score,9.0,8,6
Phone Processor Speed,3.0,Phone Battery Capacity,5000,Phone Performance Score,8.4,8,7
Phone Processor Speed,2.5,Phone Battery Capacity,5500,Phone Performance Score,8.2,8,8
Phone Processor Speed,2.5,Phone Battery Capacity,5500,Phone Performance Score,8.2,8,9
Phone Processor Speed,2.0,Phone Battery Capacity,6000,Phone Performance Score,8.0,8,10
Phone Processor Speed,2.0,Phone Battery Capacity,6000,Phone Performance Score,8.0,8,11
Phone Processor Speed,1.5,Phone Battery Capacity,6500,Phone Performance Score,7.8,8,12
Phone Processor Speed,1.5,Phone Battery Capacity,6500,Phone Performance Score,7.8,8,13
Phone Processor Speed,1.0,Phone Battery Capacity,7000,Phone Performance Score,7.5,8,14
Phone Processor Speed,5.0,Phone Battery Capacity,2500,Phone Performance Score,9.6,8,15
Phone Processor Speed,4.5,Phone Battery Capacity,3000,Phone Performance Score,9.3,8,16
Phone Processor Speed,5.5,Phone Battery Capacity,2000,Phone Performance Score,9.9,8,17
Phone Processor Speed,5.0,Phone Battery Capacity,2500,Phone Performance Score,9.6,8,18
Phone Processor Speed,6.0,Phone Battery Capacity,1500,Phone Performance Score,10.2,8,19
Phone Processor Speed,5.5,Phone Battery Capacity,2000,Phone Performance Score,9.9,8,20
Restaurant Menu Variety,50.0,Restaurant Wait Time,15,Restaurant Rating,4.2,9,1
Restaurant Menu Variety,40.0,Restaurant Wait Time,20,Restaurant Rating,4.0,9,2
Restaurant Menu Variety,60.0,Restaurant Wait Time,10,Restaurant Rating,4.5,9,3
Restaurant Menu Variety,50.0,Restaurant Wait Time,15,Restaurant Rating,4.2,9,4
Restaurant Menu Variety,70.0,Restaurant Wait Time,5,Restaurant Rating,4.8,9,5
Restaurant Menu Variety,60.0,Restaurant Wait Time,10,Restaurant Rating,4.5,9,6
Restaurant Menu Variety,40.0,Restaurant Wait Time,25,Restaurant Rating,3.8,9,7
Restaurant Menu Variety,30.0,Restaurant Wait Time,30,Restaurant Rating,3.6,9,8
Restaurant Menu Variety,30.0,Restaurant Wait Time,30,Restaurant Rating,3.6,9,9
Restaurant Menu Variety,20.0,Restaurant Wait Time,35,Restaurant Rating,3.4,9,10
Restaurant Menu Variety,20.0,Restaurant Wait Time,35,Restaurant Rating,3.4,9,11
Restaurant Menu Variety,10.0,Restaurant Wait Time,40,Restaurant Rating,3.2,9,12
Restaurant Menu Variety,10.0,Restaurant Wait Time,40,Restaurant Rating,3.2,9,13
Restaurant Menu Variety,0.0,Restaurant Wait Time,45,Restaurant Rating,3.0,9,14
Restaurant Menu Variety,80.0,Restaurant Wait Time,0,Restaurant Rating,5.0,9,15
Restaurant Menu Variety,70.0,Restaurant Wait Time,5,Restaurant Rating,4.8,9,16
Restaurant Menu Variety,90.0,Restaurant Wait Time,0,Restaurant Rating,5.2,9,17
Restaurant Menu Variety,80.0,Restaurant Wait Time,0,Restaurant Rating,5.0,9,18
Restaurant Menu Variety,100.0,Restaurant Wait Time,0,Restaurant Rating,5.4,9,19
Restaurant Menu Variety,90.0,Restaurant Wait Time,0,Restaurant Rating,5.2,9,20
Dog Training Hours,10.0,Dog Distractions,2,Dog Obedience Score,8.5,10,1
Dog Training Hours,8.0,Dog Distractions,3,Dog Obedience Score,8.0,10,2
Dog Training Hours,12.0,Dog Distractions,1,Dog Obedience Score,8.8,10,3
Dog Training Hours,10.0,Dog Distractions,2,Dog Obedience Score,8.5,10,4
Dog Training Hours,14.0,Dog Distractions,0,Dog Obedience Score,9.0,10,5
Dog Training Hours,12.0,Dog Distractions,1,Dog Obedience Score,8.8,10,6
Dog Training Hours,8.0,Dog Distractions,4,Dog Obedience Score,7.8,10,7
Dog Training Hours,6.0,Dog Distractions,5,Dog Obedience Score,7.5,10,8
Dog Training Hours,6.0,Dog Distractions,5,Dog Obedience Score,7.5,10,9
Dog Training Hours,4.0,Dog Distractions,6,Dog Obedience Score,7.2,10,10
Dog Training Hours,4.0,Dog Distractions,6,Dog Obedience Score,7.2,10,11
Dog Training Hours,2.0,Dog Distractions,7,Dog Obedience Score,7.0,10,12
Dog Training Hours,2.0,Dog Distractions,7,Dog Obedience Score,7.0,10,13
Dog Training Hours,0.0,Dog Distractions,8,Dog Obedience Score,6.5,10,14
Dog Training Hours,16.0,Dog Distractions,0,Dog Obedience Score,9.2,10,15
Dog Training Hours,14.0,Dog Distractions,0,Dog Obedience Score,9.0,10,16
Dog Training Hours,18.0,Dog Distractions,1,Dog Obedience Score,9.3,10,17
Dog Training Hours,16.0,Dog Distractions,0,Dog Obedience Score,9.2,10,18
Dog Training Hours,20.0,Dog Distractions,2,Dog Obedience Score,9.4,10,19
Dog Training Hours,18.0,Dog Distractions,1,Dog Obedience Score,9.3,10,20
Exercise Intensity,7.0,Exercise Duration,30,Exercise Burned Calories,300.0,11,1
Exercise Intensity,6.0,Exercise Duration,40,Exercise Burned Calories,280.0,11,2
Exercise Intensity,8.0,Exercise Duration,25,Exercise Burned Calories,320.0,11,3
Exercise Intensity,7.0,Exercise Duration,30,Exercise Burned Calories,300.0,11,4
Exercise Intensity,9.0,Exercise Duration,20,Exercise Burned Calories,340.0,11,5
Exercise Intensity,8.0,Exercise Duration,25,Exercise Burned Calories,320.0,11,6
Exercise Intensity,6.0,Exercise Duration,50,Exercise Burned Calories,270.0,11,7
Exercise Intensity,5.0,Exercise Duration,60,Exercise Burned Calories,250.0,11,8
Exercise Intensity,5.0,Exercise Duration,60,Exercise Burned Calories,250.0,11,9
Exercise Intensity,4.0,Exercise Duration,70,Exercise Burned Calories,230.0,11,10
Exercise Intensity,4.0,Exercise Duration,70,Exercise Burned Calories,230.0,11,11
Exercise Intensity,3.0,Exercise Duration,80,Exercise Burned Calories,210.0,11,12
Exercise Intensity,3.0,Exercise Duration,80,Exercise Burned Calories,210.0,11,13
Exercise Intensity,2.0,Exercise Duration,90,Exercise Burned Calories,190.0,11,14
Exercise Intensity,10.0,Exercise Duration,10,Exercise Burned Calories,360.0,11,15
Exercise Intensity,9.0,Exercise Duration,20,Exercise Burned Calories,340.0,11,16
Exercise Intensity,11.0,Exercise Duration,5,Exercise Burned Calories,380.0,11,17
Exercise Intensity,10.0,Exercise Duration,10,Exercise Burned Calories,360.0,11,18
Exercise Intensity,12.0,Exercise Duration,0,Exercise Burned Calories,400.0,11,19
Exercise Intensity,11.0,Exercise Duration,5,Exercise Burned Calories,380.0,11,20
Study Time,5.0,Coffee Consumption,3,Exam Score,80.0,12,1
Study Time,4.0,Coffee Consumption,5,Exam Score,75.0,12,2
Study Time,6.0,Coffee Consumption,2,Exam Score,85.0,12,3
Study Time,5.0,Coffee Consumption,4,Exam Score,82.0,12,4
Study Time,3.0,Coffee Consumption,4,Exam Score,70.0,12,5
Study Time,4.0,Coffee Consumption,6,Exam Score,65.0,12,6
Study Time,7.0,Coffee Consumption,1,Exam Score,90.0,12,7
Study Time,6.0,Coffee Consumption,3,Exam Score,88.0,12,8
Study Time,4.0,Coffee Consumption,5,Exam Score,78.0,12,9
Study Time,5.0,Coffee Consumption,7,Exam Score,72.0,12,10
Study Time,8.0,Coffee Consumption,2,Exam Score,95.0,12,11
Study Time,7.0,Coffee Consumption,4,Exam Score,92.0,12,12
Study Time,5.0,Coffee Consumption,3,Exam Score,83.0,12,13
Study Time,6.0,Coffee Consumption,5,Exam Score,79.0,12,14
Study Time,6.0,Coffee Consumption,4,Exam Score,86.0,12,15
Study Time,5.0,Coffee Consumption,6,Exam Score,80.0,12,16
Study Time,4.0,Coffee Consumption,2,Exam Score,75.0,12,17
Study Time,3.0,Coffee Consumption,4,Exam Score,70.0,12,18
Study Time,7.0,Coffee Consumption,3,Exam Score,90.0,12,19
Study Time,6.0,Coffee Consumption,5,Exam Score,85.0,12,20
House Size,2000.0,Bedrooms,3,Price,350000.0,13,1
House Size,1800.0,Bedrooms,4,Price,330000.0,13,2
House Size,2200.0,Bedrooms,2,Price,400000.0,13,3
House Size,2000.0,Bedrooms,3,Price,380000.0,13,4
House Size,1800.0,Bedrooms,4,Price,320000.0,13,5
House Size,1600.0,Bedrooms,5,Price,300000.0,13,6
House Size,2400.0,Bedrooms,3,Price,450000.0,13,7
House Size,2200.0,Bedrooms,4,Price,430000.0,13,8
House Size,2100.0,Bedrooms,2,Price,420000.0,13,9
House Size,1900.0,Bedrooms,3,Price,400000.0,13,10
House Size,1900.0,Bedrooms,5,Price,340000.0,13,11
House Size,1700.0,Bedrooms,6,Price,320000.0,13,12
House Size,2300.0,Bedrooms,2,Price,440000.0,13,13
House Size,2100.0,Bedrooms,3,Price,420000.0,13,14
House Size,2000.0,Bedrooms,4,Price,360000.0,13,15
House Size,1800.0,Bedrooms,5,Price,340000.0,13,16
House Size,2200.0,Bedrooms,3,Price,410000.0,13,17
House Size,2000.0,Bedrooms,4,Price,390000.0,13,18
House Size,2100.0,Bedrooms,5,Price,370000.0,13,19
House Size,1900.0,Bedrooms,6,Price,350000.0,13,20
Age,30.0,Exercise Hours,3,Heart Health,90.0,14,1
Age,40.0,Exercise Hours,2,Heart Health,85.0,14,2
Age,50.0,Exercise Hours,1,Heart Health,70.0,14,3
Age,60.0,Exercise Hours,0,Heart Health,65.0,14,4
Age,25.0,Exercise Hours,4,Heart Health,88.0,14,5
Age,35.0,Exercise Hours,3,Heart Health,83.0,14,6
Age,45.0,Exercise Hours,2,Heart Health,80.0,14,7
Age,55.0,Exercise Hours,1,Heart Health,75.0,14,8
Age,60.0,Exercise Hours,0,Heart Health,68.0,14,9
Age,70.0,Exercise Hours,0,Heart Health,63.0,14,10
Age,35.0,Exercise Hours,3,Heart Health,85.0,14,11
Age,45.0,Exercise Hours,2,Heart Health,80.0,14,12
Age,40.0,Exercise Hours,1,Heart Health,78.0,14,13
Age,50.0,Exercise Hours,0,Heart Health,73.0,14,14
Age,28.0,Exercise Hours,5,Heart Health,92.0,14,15
Age,38.0,Exercise Hours,4,Heart Health,88.0,14,16
Age,55.0,Exercise Hours,1,Heart Health,76.0,14,17
Age,65.0,Exercise Hours,0,Heart Health,71.0,14,18
Age,30.0,Exercise Hours,2,Heart Health,84.0,14,19
Age,40.0,Exercise Hours,1,Heart Health,80.0,14,20
Height,180.0,Weight,70,BMI,21.6,15,1
Height,170.0,Weight,75,BMI,25.95,15,2
Height,175.0,Weight,65,BMI,21.2,15,3
Height,165.0,Weight,70,BMI,25.7,15,4
Height,160.0,Weight,60,BMI,23.4,15,5
Height,150.0,Weight,65,BMI,28.9,15,6
Height,190.0,Weight,80,BMI,22.2,15,7
Height,180.0,Weight,85,BMI,26.2,15,8
Height,165.0,Weight,68,BMI,24.9,15,9
Height,155.0,Weight,73,BMI,30.0,15,10
Height,170.0,Weight,72,BMI,24.9,15,11
Height,160.0,Weight,77,BMI,30.1,15,12
Height,185.0,Weight,85,BMI,25.2,15,13
Height,175.0,Weight,90,BMI,29.4,15,14
Height,155.0,Weight,55,BMI,22.9,15,15
Height,145.0,Weight,60,BMI,28.7,15,16
Height,175.0,Weight,75,BMI,24.9,15,17
Height,165.0,Weight,80,BMI,29.6,15,18
Height,160.0,Weight,68,BMI,27.3,15,19
Height,150.0,Weight,73,BMI,32.4,15,20
Coffee Amount,3.0,Sugar Amount,1,Taste Rating,7.0,16,1
Coffee Amount,4.0,Sugar Amount,2,Taste Rating,6.5,16,2
Coffee Amount,2.0,Sugar Amount,2,Taste Rating,6.5,16,3
Coffee Amount,3.0,Sugar Amount,3,Taste Rating,6.0,16,4
Coffee Amount,4.0,Sugar Amount,0,Taste Rating,5.0,16,5
Coffee Amount,5.0,Sugar Amount,1,Taste Rating,4.5,16,6
Coffee Amount,3.0,Sugar Amount,3,Taste Rating,6.0,16,7
Coffee Amount,4.0,Sugar Amount,4,Taste Rating,5.5,16,8
Coffee Amount,2.0,Sugar Amount,1,Taste Rating,5.5,16,9
Coffee Amount,3.0,Sugar Amount,2,Taste Rating,5.0,16,10
Coffee Amount,3.0,Sugar Amount,2,Taste Rating,6.0,16,11
Coffee Amount,4.0,Sugar Amount,3,Taste Rating,5.5,16,12
Coffee Amount,4.0,Sugar Amount,1,Taste Rating,5.5,16,13
Coffee Amount,5.0,Sugar Amount,2,Taste Rating,5.0,16,14
Coffee Amount,2.0,Sugar Amount,3,Taste Rating,6.0,16,15
Coffee Amount,3.0,Sugar Amount,4,Taste Rating,5.5,16,16
Coffee Amount,3.0,Sugar Amount,0,Taste Rating,5.0,16,17
Coffee Amount,4.0,Sugar Amount,1,Taste Rating,4.5,16,18
Coffee Amount,4.0,Sugar Amount,2,Taste Rating,6.5,16,19
Coffee Amount,5.0,Sugar Amount,3,Taste Rating,6.0,16,20
Study Time,4.0,Distractions,2.0,Exam Score,80.0,12,21
Study Time,3.0,Distractions,3.0,Exam Score,75.0,12,22
Study Time,5.0,Distractions,1.0,Exam Score,85.0,12,23
Study Time,4.0,Distractions,2.0,Exam Score,82.0,12,24
Study Time,3.0,Distractions,3.0,Exam Score,78.0,12,25
Study Time,2.0,Distractions,4.0,Exam Score,72.0,12,26
Study Time,6.0,Distractions,1.0,Exam Score,90.0,12,27
Study Time,5.0,Distractions,2.0,Exam Score,87.0,12,28
Study Time,4.0,Distractions,2.0,Exam Score,82.0,12,29
Study Time,3.0,Distractions,3.0,Exam Score,77.0,12,30
Study Time,5.0,Distractions,3.0,Exam Score,76.0,12,31
Study Time,4.0,Distractions,4.0,Exam Score,73.0,12,32
Study Time,2.0,Distractions,4.0,Exam Score,70.0,12,33
Study Time,3.0,Distractions,5.0,Exam Score,65.0,12,34
Study Time,4.0,Distractions,1.0,Exam Score,86.0,12,35
Study Time,3.0,Distractions,2.0,Exam Score,83.0,12,36
Study Time,3.0,Distractions,2.0,Exam Score,81.0,12,37
Study Time,2.0,Distractions,3.0,Exam Score,76.0,12,38
Study Time,5.0,Distractions,2.0,Exam Score,84.0,12,39
Study Time,4.0,Distractions,3.0,Exam Score,80.0,12,40
Temperature,70.0,Humidity,60.0,Comfort Level,75.0,17,1
Temperature,65.0,Humidity,70.0,Comfort Level,70.0,17,2
Temperature,80.0,Humidity,50.0,Comfort Level,78.0,17,3
Temperature,75.0,Humidity,60.0,Comfort Level,72.0,17,4
Temperature,65.0,Humidity,75.0,Comfort Level,68.0,17,5
Temperature,70.0,Humidity,80.0,Comfort Level,65.0,17,6
Temperature,90.0,Humidity,40.0,Comfort Level,80.0,17,7
Temperature,85.0,Humidity,50.0,Comfort Level,75.0,17,8
Temperature,75.0,Humidity,65.0,Comfort Level,76.0,17,9
Temperature,70.0,Humidity,70.0,Comfort Level,73.0,17,10
Temperature,60.0,Humidity,80.0,Comfort Level,65.0,17,11
Temperature,65.0,Humidity,85.0,Comfort Level,62.0,17,12
Temperature,85.0,Humidity,55.0,Comfort Level,79.0,17,13
Temperature,80.0,Humidity,60.0,Comfort Level,74.0,17,14
Temperature,72.0,Humidity,70.0,Comfort Level,73.0,17,15
Temperature,68.0,Humidity,75.0,Comfort Level,70.0,17,16
Temperature,78.0,Humidity,60.0,Comfort Level,77.0,17,17
Temperature,74.0,Humidity,65.0,Comfort Level,74.0,17,18
Temperature,68.0,Humidity,75.0,Comfort Level,67.0,17,19
Temperature,72.0,Humidity,80.0,Comfort Level,64.0,17,20
Price,100.0,Size,5.0,Quality,80.0,18,1
Price,120.0,Size,6.0,Quality,75.0,18,2
Price,80.0,Size,4.0,Quality,85.0,18,3
Price,90.0,Size,5.0,Quality,82.0,18,4
Price,130.0,Size,7.0,Quality,70.0,18,5
Price,110.0,Size,8.0,Quality,74.0,18,6
Price,90.0,Size,3.0,Quality,87.0,18,7
Price,100.0,Size,4.0,Quality,84.0,18,8
Price,70.0,Size,2.0,Quality,90.0,18,9
Price,80.0,Size,3.0,Quality,88.0,18,10
Price,110.0,Size,6.0,Quality,75.0,18,11
Price,100.0,Size,7.0,Quality,78.0,18,12
Price,120.0,Size,8.0,Quality,68.0,18,13
