,participant,trial,task_id,feature1_name,feature2_name,target_name,feature1_value_F,feature2_value_F,feature1_value_J,feature2_value_J,target_value_F,target_value_J,answer
28,0,28,336,Familyplanning,prenatalcare,healthybabies,0.91,0.18,0.73,0.26,0.68,0.62,J
29,0,29,27,Agreeableness,cooperationtendency,collaborationquality,0.32,0.91,0.72,0.84,0.74,0.69,J
30,0,30,2823,Doctoravailability,preventativecare,publichealthoutcomes,0.33,0.48,0.42,0.21,0.71,0.57,F
31,0,31,1122,Studyeffectiveness,testdifficulty,examresult,0.74,0.58,0.79,0.33,77.0,81.0,J
32,0,32,9,Empathy,agreeableness,relationshipsatisfaction,0.91,0.97,0.94,0.99,0.87,0.91,J
33,0,33,238,Sugarintake,exerciseduration,weightchange,51.0,63.0,16.0,83.0,1.8,5.9,F
34,0,34,503,Exercise,DietQuality,WeightLoss,46.0,72.0,33.0,71.0,5.0,11.0,F
35,0,35,505,TimePerTopic,MemorizationAbility,ExamScore,0.81,0.23,0.61,0.37,60.0,65.0,J
36,0,36,607,Stresslevel,dietquality,mentalwellbeing,8.7,3.2,8.3,9.7,38.9,79.1,F
37,0,37,189,Screentime,physicalactivity,childhoodobesity,2.1,5.7,1.8,5.5,0.7,0.69,J
38,0,38,65,Nurturance,caregivingaptitude,parentingquality,0.47,0.41,0.91,0.88,0.44,0.9,J
39,0,39,943,Age,exercise,health,18.0,90.0,29.0,150.0,62.0,77.0,J
40,0,40,695,Groupcohesion,leadership,teamproductivity,0.31,0.54,0.21,0.34,0.42,0.36,F
41,0,41,301,Healtheducation,preventativecare,publichealthoutcomes,0.43,0.37,0.83,0.92,0.4,0.88,J
42,0,42,1908,Stepsperday,Dietquality,Healthscore,11000.0,47.0,9300.0,62.0,68.0,78.0,F
43,0,43,753,Sleepduration,caffeine,alertness,8.9,0.6,4.9,2.6,9.3,7.5,F
44,0,44,1153,Inequality,socialcohesion,crimerate,0.77,0.69,0.87,0.76,0.73,0.93,J
45,0,45,480,GPA,InterviewPerformance,JobOfferOdds,3.5,0.9,2.8,0.8,0.58,0.43,F
46,0,46,980,Diet,genetics,lifespan,47.0,83.0,81.0,53.0,77.0,89.0,F
47,0,47,322,Healthcareaccess,preventionfocus,communitywellbeing,0.14,0.84,0.35,0.87,0.43,0.64,F
48,0,48,19,Altruism,volunteerhours,communityengagement,0.79,13.0,0.83,4.0,0.71,0.39,F
49,0,49,449,Medicationefficacy,therapyfrequency,recoverypace,0.32,0.91,0.61,0.54,0.51,0.57,F
50,0,50,395,Studenteffort,teachingquality,learningoutcomes,0.18,0.76,0.46,0.31,0.54,0.41,F
51,0,51,679,Stresslevel,copingmechanisms,wellbeing,0.14,0.65,0.93,0.82,0.73,0.64,F
52,0,52,138,Populationdensity,greenspaces,communitysatisfaction,3100.0,1250.0,2200.0,750.0,80.0,69.0,J
53,0,53,539,StudyTime,TeachingQuality,AcademicPerformance,2.3,5.6,8.3,9.3,63.2,77.1,J
54,0,54,146,Healthcareaccess,lifestylediseases,lifeexpectancy,0.68,0.71,0.72,0.61,76.0,77.0,F
55,0,55,470,StudyTime,FocusLevel,ExamGrade,8.3,5.9,3.8,5.2,78.0,67.0,F
56,0,56,277,Companytenure,workperformance,jobsatisfaction,18.0,7.0,14.0,12.0,82.0,86.0,J
57,0,57,84,Socialawareness,tactfulness,popularitylevel,0.82,0.94,0.91,0.88,0.91,0.93,F
58,0,58,26,Leadership,socialinfluence,teamperformance,0.53,0.77,0.16,0.64,0.69,0.37,F
59,0,59,1888,Sleepduration,Coffeecups,Productivitylevel,4.7,4.0,7.8,4.0,54.0,72.0,F
60,0,60,343,Healthawareness,lifestylechanges,wellbeing,0.21,0.63,0.37,0.39,0.73,0.74,F
61,0,61,10,Extraversion,socialnetworksize,happinessscore,50.0,92.0,39.0,132.0,89.0,88.0,J
62,0,62,500,EmployeeSkill,ManagementCompetence,Profitability,84.0,54.0,38.0,81.0,63.0,52.0,F
63,0,63,14,esteem,socialsupport,confidencelevel,0.15,0.79,0.86,0.66,0.33,0.8,J
64,0,64,462,Population,Resources,Happiness,63.0,21.0,90.0,82.0,45.0,88.0,J
65,0,65,1227,Studytime,learningtechniques,academicachievement,5.0,8.0,3.0,8.0,71.0,59.0,F
66,0,66,211,Population,resourcesavailable,qualityoflife,332.0,882.0,481.0,592.0,71.0,64.0,F
67,0,67,498,SocialSupport,CopingSkills,DepressionRisk,7.2,8.9,7.7,9.1,0.36,0.41,F
68,0,68,1847,Drugdose,individualvariation,treatmentefficacy,0.72,0.24,0.12,0.53,0.68,0.29,F
69,0,69,2927,Employeeproductivity,workplaceculture,companygrowth,0.57,0.48,0.65,0.58,0.61,0.69,J
70,0,70,34,Socialparticipation,communitybelonging,civicengagement,0.71,0.82,0.54,0.32,0.73,0.36,F
71,0,71,130,Healthcareaccess,lifestylediseases,lifeexpectancy,45.0,33.0,73.0,80.0,69.0,79.0,J
72,0,72,542,Nutrition,Exercise,PhysicalFitnessScore,40.0,35.0,49.0,36.0,66.0,72.0,J
73,0,73,1118,Squarefootage,amenities,apartmentrentalprice,2400.0,5.0,1900.0,9.0,5700.0,4500.0,F
74,0,74,465,SleepHours,StressLevel,HealthScore,8.7,7.2,7.8,2.3,86.0,79.0,J
75,0,75,18,Optimism,purpose,meaninginlife,0.91,0.73,0.53,0.41,0.87,0.39,F
76,0,76,1136,Price,convenience,customersatisfaction,66.0,83.0,13.0,94.0,89.0,48.0,J
77,0,77,518,StudySkills,PracticeTests,ExamReadinessScore,32.0,19.0,26.0,34.0,41.0,33.0,J
78,0,78,57,Sensitivitytoreward,motivationlevel,goalachievement,0.21,0.65,0.47,0.36,0.48,0.34,J
79,0,79,817,Riskfactors,prevention,disease,0.12,0.85,0.07,0.88,0.34,0.31,F
80,0,80,68,esteemstability,identitycoherence,lifesatisfaction,0.09,0.41,0.45,0.22,0.29,0.51,J
81,0,81,497,FinancialMeans,NutritionAccess,HealthOutcomes,38.0,17.0,11.0,37.0,80.0,57.0,F
82,0,82,544,HealthcareAccess,LifestyleFactors,LifeExpectancy,0.45,0.93,0.73,0.26,76.8,68.2,F
83,0,83,548,Hoursstudied,quizscores,examgrade,6.0,80.0,12.0,55.0,82.0,75.0,F
84,0,84,757,Riskfactors,treatment,lifeexpectancy,42.0,37.0,88.0,77.0,41.0,85.0,F
85,0,85,291,Studentpreparedness,questionrelevance,examperformance,0.24,0.12,0.31,0.68,0.26,0.58,J
86,0,86,1944,Staffcooperation,Managerapproach,Companyculture,0.21,0.63,0.73,0.91,0.33,0.85,J
87,0,87,13,Negativeaffect,copingabilities,anxietylevel,0.61,0.31,0.11,0.33,0.68,0.18,J
88,0,88,891,InterestLevel,ContentDifficulty,ExamScore,0.86,0.48,0.35,0.04,79.3,38.5,F
89,0,89,693,Parentingstyle,peerinfluences,childdevelopment,0.47,0.15,0.28,0.05,0.39,0.23,F
90,0,90,186,Healthcareaccess,diseaseburden,lifeexpectancy,84.0,61.0,94.0,16.0,79.0,77.0,J
91,0,91,494,AlcoholUse,ImpulseControl,LegalTroubleRisk,8.2,3.1,8.9,2.3,62.3,63.8,F
92,0,92,858,SugarIntake,Metabolism,WeightGain,18.0,77.0,63.0,95.0,41.0,86.0,J
93,0,93,100,Traveltime,traveldistance,transportationcost,50.0,14.0,48.0,25.0,211.0,267.0,F
94,0,94,80,Extraversion,socialactivity,communitybelonging,0.74,0.65,0.04,0.11,0.76,0.05,F
95,0,95,63,Cooperationtendency,agreeableness,teamcohesion,0.34,0.52,0.92,0.74,0.47,0.89,J
96,0,96,1082,Effort,talent,success,0.28,0.64,0.79,0.42,0.56,0.69,J
97,0,97,1058,Fatcontent,sugarcontent,caloriecount,0.44,0.51,0.83,0.37,163.0,221.0,J
98,0,98,463,Strength,Flexibility,InjuryRisk,0.86,0.38,0.28,0.72,0.74,0.53,J
99,0,99,259,Calorieintake,exercisetime,weightchange,1600.0,10.0,1400.0,5.0,0.1,0.2,J
100,1,0,513,Alcohol,Impulsiveness,ViolenceRisk,76.0,33.0,98.0,3.0,67.0,74.0,F
101,1,1,143,Inequality,socialtensions,politicalstability,0.32,0.52,0.51,0.83,0.55,0.75,F
102,1,2,464,Calories,Exercise,Weight,250.0,88.0,298.0,100.0,179.0,184.0,F
103,1,3,729,Housingaffordability,incomeinequality,homelessness,0.55,0.61,0.46,0.67,27.3,29.5,J
104,1,4,1888,Sleepduration,Coffeecups,Productivitylevel,6.5,2.0,7.2,3.0,64.0,68.0,J
105,1,5,554,Practicetime,talent,musicskill,4.2,8.3,3.1,7.9,6.1,8.2,J
106,1,6,4,Commutetime,jobsatisfaction,productivity,100.0,5.0,25.0,70.0,29.0,51.0,J
107,1,7,320,Parentinvolvement,studentengagement,graduationrates,0.92,0.54,0.05,0.63,0.61,0.33,F
108,1,8,91,Athleticism,strengthandfitness,sportsperformance,0.83,0.37,0.94,0.55,0.53,0.8,J
109,1,9,607,Stresslevel,dietquality,mentalwellbeing,6.3,8.9,8.7,3.2,71.5,38.9,F
110,1,10,931,NewsSource,MediaBias,VoterOpinion,0.41,0.85,0.64,0.88,0.33,0.71,F
111,1,11,1143,Age,healthstatus,lifeexpectancy,52.0,0.3,29.0,0.8,66.0,80.0,J
112,1,12,87,Memorycapacity,knowledgeaccumulation,academicachievement,37.0,58.0,29.0,84.0,49.0,67.0,J
113,1,13,361,Age,education,income,31.0,16.0,39.0,12.0,71000.0,77000.0,F
114,1,14,918,HouseSize,Furnishings,PropertyValue,1350.0,8900.0,850.0,4500.0,580000.0,290000.0,F
115,1,15,559,Crimerate,policefunding,publicsafety,0.94,0.11,0.61,0.43,0.76,0.55,J
116,1,16,681,Genetics,lifestylefactors,diseasepredisposition,0.53,0.82,0.74,0.19,0.29,0.41,F
117,1,17,1227,Studytime,learningtechniques,academicachievement,5.0,9.0,7.0,3.0,73.0,68.0,F
118,1,18,262,Practicetime,talentlevel,skilllevel,0.76,0.55,0.29,0.68,0.72,0.56,F
119,1,19,434,Protein,fat,caloricenergy,31.0,12.0,39.0,19.0,534.0,678.0,J
120,1,20,3,Age,coffeeconsumption,sleepquality,52.0,7.0,18.0,5.0,4.0,8.0,J
121,1,21,6,Exerciseduration,dietquality,healthscore,34.0,42.0,79.0,18.0,55.0,72.0,F
122,1,22,294,Clinicalexpertise,diagnostictechnology,patientoutcomes,8.6,3.8,4.9,5.7,6.7,8.4,F
123,1,23,1866,Foodintake,Exercise,Bodyweight,2350.0,140.0,2400.0,160.0,183.0,185.0,J
124,1,24,1050,Yearsexperience,educationlevel,salary,3.0,16.0,4.0,20.0,45000.0,40000.0,J
125,1,25,375,Inflation,unemployment,economicgrowth,10.1,6.9,3.8,5.1,0.8,3.4,J
126,1,26,484,TeacherExperience,StudentEnthusiasm,ExamImprovement,7.0,6.0,17.0,10.0,11.0,22.0,J
127,1,27,1161,Stresslevel,copingabilities,burnoutrisk,6.7,3.5,1.9,7.6,26.3,15.3,F
128,1,28,189,Screentime,physicalactivity,childhoodobesity,4.1,4.2,1.3,6.8,0.8,0.68,J
129,1,29,503,Exercise,DietQuality,WeightLoss,42.0,83.0,26.0,88.0,17.0,15.0,J
130,1,30,14,esteem,socialsupport,confidencelevel,0.03,0.67,0.77,0.29,0.22,0.61,J
131,1,31,295,Leadershipintegrity,citizenapproval,administrationsuccess,0.81,0.72,0.93,0.88,0.85,0.96,J
132,1,32,449,Medicationefficacy,therapyfrequency,recoverypace,0.75,0.69,0.28,0.83,0.71,0.38,F
133,1,33,504,PolicePresence,NeighborhoodIncome,CrimeRate,0.45,0.63,0.72,0.39,0.53,0.59,J
134,1,34,1908,Stepsperday,Dietquality,Healthscore,5800.0,78.0,9300.0,62.0,86.0,78.0,F
135,1,35,270,Practicehours,instructorquality,musicskill,5.0,9.0,8.0,10.0,20.0,26.0,J
136,1,36,238,Sugarintake,exerciseduration,weightchange,11.0,75.0,51.0,63.0,7.6,1.8,F
137,1,37,1082,Effort,talent,success,0.15,0.93,0.91,0.18,0.71,0.38,J
138,1,38,100,Traveltime,traveldistance,transportationcost,13.0,29.0,6.0,46.0,162.0,243.0,F
139,1,39,3319,Diet,genetics,bodyweight,67.0,53.0,46.0,77.0,112.0,163.0,F
140,1,40,1058,Fatcontent,sugarcontent,caloriecount,0.91,0.67,0.85,0.73,342.0,312.0,J
141,1,41,90,Physicalattractiveness,datingsuccess,matevalue,7.2,5.5,4.9,3.2,9.0,5.8,F
142,1,42,3014,Commutedistance,trafficlevel,traveltime,15.3,8.7,6.5,11.3,36.4,25.9,F
143,1,43,37,Familysupport,friendsupport,resiliencefactors,0.15,0.63,0.93,0.36,0.47,0.77,J
144,1,44,27,Agreeableness,cooperationtendency,collaborationquality,0.42,0.31,0.34,0.26,0.38,0.33,F
145,1,45,812,Conditions,adaptation,survival,0.85,0.62,0.18,0.76,0.79,0.63,F
146,1,46,2763,Housesize,houselocation,houseprice,2200.0,170.0,300.0,15.0,520000.0,100000.0,F
147,1,47,3165,Housingsupply,populationgrowth,homecosts,0.09,0.22,0.94,0.86,0.38,0.98,F
148,1,48,858,SugarIntake,Metabolism,WeightGain,12.0,62.0,58.0,81.0,33.0,75.0,F
149,1,49,75,Curiosity,intellectualengagement,creativitylevel,0.92,0.68,0.29,0.41,0.88,0.31,F
150,1,50,2775,Workerexperience,workereducation,productivity,6.0,16.0,8.0,16.0,44.0,47.0,F
151,1,51,193,Pollutioncontrols,airquality,publichealth,83.0,28.0,51.0,22.0,49.0,35.0,F
152,1,52,539,StudyTime,TeachingQuality,AcademicPerformance,7.3,4.2,7.2,2.9,68.7,68.4,F
153,1,53,3086,Medicationtype,dosage,therapeuticeffect,40.0,72.0,50.0,90.0,61.0,76.0,F
154,1,54,59,Workingmemorycapacity,processingspeed,problemsolving,29.0,83.0,57.0,47.0,63.0,55.0,F
155,1,55,267,Inflationrate,unemploymentrate,economicgrowth,8.1,5.9,8.3,4.7,1.1,1.4,J
156,1,56,2,Studyhours,IQscore,examscore,4.0,125.0,6.0,115.0,71.0,78.0,F
157,1,57,824,Effort,talent,achievement,0.62,0.91,0.41,0.67,0.83,0.57,F
158,1,58,138,Populationdensity,greenspaces,communitysatisfaction,2900.0,900.0,1200.0,350.0,77.0,58.0,F
159,1,59,3118,Populationsize,landarea,housingdemand,2000.0,8.0,65000.0,280.0,900.0,35000.0,J
160,1,60,113,Studytime,examdifficulty,testscore,3.6,2.7,1.2,2.3,73.0,61.0,F
161,1,61,772,Leadership,morale,productivity,0.64,0.77,0.76,0.54,0.72,0.63,J
162,1,62,304,Economicpolicy,financialregulation,marketstability,1.9,4.6,3.6,7.4,64.3,75.8,J
163,1,63,15,Stresslevel,leisuretime,burnoutrisk,3.4,7.1,7.3,6.5,65.9,84.2,J
164,1,64,13,Negativeaffect,copingabilities,anxietylevel,0.61,0.31,0.11,0.33,0.68,0.18,F
165,1,65,20,Curiosity,knowledgeseeking,wisdomscore,0.51,0.37,0.86,0.52,0.48,0.76,J
166,1,66,3202,Commutemethod,routeflexibility,work,0.81,0.74,0.42,0.24,0.86,0.38,F
167,1,67,201,Studytime,IQscore,testscore,56.0,116.0,35.0,103.0,87.0,70.0,F
168,1,68,2823,Doctoravailability,preventativecare,publichealthoutcomes,0.71,0.24,0.91,0.73,0.62,0.89,J
169,1,69,853,Effort,Ability,Performance,0.72,0.57,0.23,0.19,0.73,0.26,F
170,1,70,2863,Housesize,lotsize,houseprice,4000.0,1500.0,100.0,1950.0,860000.0,220000.0,F
171,1,71,2930,Vitaminintake,nutrientabsorption,healthstatus,5.0,35.0,19.0,25.0,61.0,74.0,F
172,1,72,1165,Rehabtime,injuryseverity,recoveryrate,6.0,4.0,10.0,4.0,0.8,0.69,F
173,1,73,497,FinancialMeans,NutritionAccess,HealthOutcomes,15.0,45.0,11.0,37.0,73.0,57.0,F
174,1,74,279,Leadershipcompetence,teamcohesion,projectsuccess,0.73,0.62,0.61,0.54,0.81,0.68,F
175,1,75,753,Sleepduration,caffeine,alertness,3.8,0.5,5.1,1.5,6.1,7.3,F
176,1,76,3077,Employeehappiness,salary,productivity,0.92,87312.0,0.62,47385.0,0.96,0.78,F
177,1,77,34,Socialparticipation,communitybelonging,civicengagement,0.73,0.85,0.91,0.93,0.68,0.89,J
178,1,78,130,Healthcareaccess,lifestylediseases,lifeexpectancy,51.0,60.0,55.0,50.0,76.0,74.0,J
179,1,79,480,GPA,InterviewPerformance,JobOfferOdds,2.1,0.5,3.0,0.4,0.23,0.47,J
180,1,80,1944,Staffcooperation,Managerapproach,Companyculture,0.34,0.29,0.51,0.83,0.33,0.69,J
181,1,81,2778,Fatcontent,calories,heartdiseaserisk,52.0,180.0,21.0,370.0,0.36,0.15,F
182,1,82,322,Healthcareaccess,preventionfocus,communitywellbeing,0.53,0.82,0.85,0.73,0.76,0.81,J
183,1,83,1063,Birthrate,deathrate,populationgrowth,6.4,3.7,19.5,15.3,2.7,4.2,F
184,1,84,309,Urbangreening,pollutionreduction,livability,0.93,0.62,0.15,0.79,0.86,0.36,F
185,1,85,470,StudyTime,FocusLevel,ExamGrade,7.4,6.5,5.3,7.1,84.0,80.0,F
186,1,86,1277,Employeetalent,organizationalculture,jobsatisfaction,0.43,0.91,0.19,0.41,0.72,0.29,F
187,1,87,494,AlcoholUse,ImpulseControl,LegalTroubleRisk,2.1,8.6,9.1,4.3,57.4,71.6,J
188,1,88,718,Healthcareaccess,lifestylefactors,lifeexpectancy,0.93,0.81,0.82,0.76,75.81,75.15,F
189,1,89,69,Emotionalstability,distresstolerance,resiliencefactors,0.21,0.76,0.54,0.73,0.38,0.61,J
190,1,90,518,StudySkills,PracticeTests,ExamReadinessScore,73.0,66.0,88.0,84.0,76.0,89.0,J
191,1,91,81,Openness,culturalengagement,worldviewexpansion,0.34,0.29,0.48,0.63,0.36,0.69,J
192,1,92,41,Attentiontodetail,precisionabilities,accuracylevel,0.75,0.93,0.68,0.55,0.88,0.64,F
193,1,93,211,Population,resourcesavailable,qualityoflife,905.0,812.0,773.0,115.0,72.0,65.0,F
194,1,94,3025,Inflation,unemployment,economicgrowth,4.1,8.7,5.2,3.7,0.8,2.3,J
195,1,95,1100,Accuracyofpolls,undecidedvoters,electionoutcomeprobabilities,0.55,0.15,0.57,0.14,0.63,0.68,J
196,1,96,807,Diet,exercise,fitnesslevel,16.0,22.0,23.0,18.0,27.0,32.0,J
197,1,97,440,Ingredientratios,cookingmethod,foodtaste,0.57,0.34,0.23,0.81,6.43,4.32,F
198,1,98,277,Companytenure,workperformance,jobsatisfaction,5.0,7.0,4.0,2.0,73.0,44.0,F
199,1,99,808,Skill,practice,mastery,0.18,0.93,0.37,0.76,0.44,0.49,F
200,2,0,40,Orderliness,organizationabilities,tidinessscore,0.41,0.75,0.42,0.91,0.63,0.74,J
201,2,1,685,Studyhabits,classengagement,grades,0.61,0.22,0.91,0.83,68.0,95.0,J
202,2,2,3018,Pay,benefits,jobsatisfaction,34000.0,24000.0,28000.0,18000.0,89.0,79.0,J
203,2,3,183,Policeforcesize,responsetimes,publicsafety,64.0,3.0,53.0,9.0,72.0,45.0,J
204,2,4,544,HealthcareAccess,LifestyleFactors,LifeExpectancy,0.03,0.81,0.83,0.71,59.5,71.6,J
205,2,5,1847,Drugdose,individualvariation,treatmentefficacy,0.91,0.37,0.42,0.19,0.84,0.33,F
206,2,6,82,Morningalertness,sleepconsistency,dailyproductivity,0.58,0.38,0.92,0.81,0.68,0.89,J
207,2,7,809,Attention,distraction,focus,0.36,0.72,0.77,0.42,0.61,0.71,J
208,2,8,336,Familyplanning,prenatalcare,healthybabies,0.62,0.37,0.33,0.61,0.58,0.55,F
209,2,9,695,Groupcohesion,leadership,teamproductivity,0.82,0.65,0.96,0.62,0.78,0.88,J
210,2,10,2823,Doctoravailability,preventativecare,publichealthoutcomes,0.91,0.73,0.61,0.53,0.89,0.84,F
211,2,11,274,Studydedication,academicsupport,studentgrowth,5.2,3.1,9.8,7.6,8.4,14.1,J
212,2,12,1063,Birthrate,deathrate,populationgrowth,8.2,6.1,15.7,11.3,2.1,4.4,F
213,2,13,19,Altruism,volunteerhours,communityengagement,0.65,6.0,0.93,15.0,0.49,0.86,F
214,2,14,679,Stresslevel,copingmechanisms,wellbeing,0.61,0.52,0.17,0.24,0.48,0.41,J
215,2,15,11,Jobprestige,educationlevel,lifesatisfaction,25.0,13.0,23.0,11.0,60.0,58.0,F
216,2,16,1161,Stresslevel,copingabilities,burnoutrisk,2.3,6.8,5.6,4.1,14.9,27.5,J
217,2,17,18,Optimism,purpose,meaninginlife,0.34,0.17,0.73,0.62,0.22,0.51,J
218,2,18,449,Medicationefficacy,therapyfrequency,recoverypace,0.52,0.43,0.79,0.86,0.49,0.81,F
219,2,19,189,Screentime,physicalactivity,childhoodobesity,2.9,4.6,1.8,5.5,0.74,0.69,F
220,2,20,824,Effort,talent,achievement,0.41,0.67,0.24,0.32,0.57,0.26,F
221,2,21,27,Agreeableness,cooperationtendency,collaborationquality,0.83,0.75,0.44,0.36,0.76,0.38,J
222,2,22,41,Attentiontodetail,precisionabilities,accuracylevel,0.63,0.71,0.15,0.82,0.69,0.61,F
223,2,23,345,Workplacesafety,emergencypreparedness,injuryprevention,0.28,0.71,0.38,0.73,0.36,0.43,J
224,2,24,434,Protein,fat,caloricenergy,24.0,37.0,12.0,31.0,598.0,498.0,J
225,2,25,186,Healthcareaccess,diseaseburden,lifeexpectancy,73.0,42.0,64.0,28.0,68.0,54.0,F
226,2,26,10,Extraversion,socialnetworksize,happinessscore,32.0,18.0,51.0,105.0,67.0,92.0,F
227,2,27,3153,Employeeskills,trainingprograms,jobperformance,5.3,2.9,4.7,3.5,6.8,6.5,F
228,2,28,505,TimePerTopic,MemorizationAbility,ExamScore,0.84,0.47,0.39,0.83,69.0,80.0,F
229,2,29,1278,Medicationeffectiveness,placeboeffect,treatmentoutcome,0.79,0.72,0.92,0.81,0.89,0.98,F
230,2,30,3086,Medicationtype,dosage,therapeuticeffect,10.0,21.0,70.0,25.0,17.0,41.0,F
231,2,31,211,Population,resourcesavailable,qualityoflife,301.0,411.0,551.0,433.0,56.0,63.0,F
232,2,32,757,Riskfactors,treatment,lifeexpectancy,84.0,91.0,18.0,93.0,90.0,49.0,F
233,2,33,291,Studentpreparedness,questionrelevance,examperformance,0.15,0.83,0.19,0.08,0.43,0.2,F
234,2,34,13,Negativeaffect,copingabilities,anxietylevel,0.42,0.65,0.11,0.33,0.49,0.18,F
235,2,35,812,Conditions,adaptation,survival,0.18,0.76,0.36,0.53,0.63,0.44,F
236,2,36,391,Caloriedeficit,activitylevel,weightloss,211.0,263.0,104.0,402.0,19.0,28.0,F
237,2,37,859,StudyTime,Comprehension,ExamScore,8.0,5.0,3.0,5.0,86.0,73.0,F
238,2,38,1227,Studytime,learningtechniques,academicachievement,3.0,8.0,8.0,5.0,59.0,74.0,F
239,2,39,273,Dietquality,exerciseroutine,health&wellness,0.28,0.64,0.44,0.88,0.55,0.79,F
240,2,40,1224,Commutelength,flexibleschedules,work,5.0,90.0,60.0,50.0,56.0,83.0,F
241,2,41,138,Populationdensity,greenspaces,communitysatisfaction,3600.0,1200.0,2200.0,750.0,81.0,69.0,F
242,2,42,718,Healthcareaccess,lifestylefactors,lifeexpectancy,0.82,0.76,0.83,0.77,75.15,75.01,F
243,2,43,141,Noiselevels,stresshormones,sleepquality,27.0,71.0,31.0,59.0,68.0,62.0,F
244,2,44,3025,Inflation,unemployment,economicgrowth,2.1,3.2,2.7,3.1,4.6,4.9,F
245,2,45,338,Informationquality,medialiteracy,informedpublic,0.73,0.62,0.65,0.41,0.81,0.61,F
246,2,46,772,Leadership,morale,productivity,0.64,0.77,0.51,0.35,0.72,0.53,F
247,2,47,348,Medicalresearch,drugdevelopment,diseasecure,49.0,37.0,11.0,7.0,55.0,14.0,F
248,2,48,322,Healthcareaccess,preventionfocus,communitywellbeing,0.67,0.24,0.76,0.38,0.55,0.68,F
249,2,49,1050,Yearsexperience,educationlevel,salary,3.0,16.0,6.0,15.0,45000.0,53000.0,F
250,2,50,513,Alcohol,Impulsiveness,ViolenceRisk,13.0,64.0,66.0,55.0,48.0,94.0,F
251,2,51,702,Healthcareaccess,publichealthinitiatives,communitywellbeing,0.36,0.94,0.67,0.71,0.71,0.66,F
252,2,52,279,Leadershipcompetence,teamcohesion,projectsuccess,0.61,0.54,0.55,0.47,0.68,0.61,F
253,2,53,1122,Studyeffectiveness,testdifficulty,examresult,0.63,0.28,0.81,0.48,70.0,82.0,F
254,2,54,1082,Effort,talent,success,0.58,0.77,0.79,0.42,0.74,0.69,F
255,2,55,484,TeacherExperience,StudentEnthusiasm,ExamImprovement,17.0,10.0,11.0,3.0,22.0,9.0,F
