,Feature 1 name,Feature 2 name,Feature 3 name,Object 1 Feature 1 value,Object 1 Feature 2 value,Object 1 Feature 3 value,Object 2 Feature 1 value,Object 2 Feature 2 value,Object 2 Feature 3 value
39,Recipe Servings,Spice Level (1-10),Taste (1-10),4.0,5,6.0,6.0,7,7.0
40,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),20.0,3,6.0,25.0,4,7.0
41,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),25.0,2,7.0,20.0,3,6.0
42,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),15.0,4,5.0,20.0,5,6.0
43,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),30.0,3,8.0,25.0,4,7.0
44,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),20.0,5,6.0,25.0,6,7.0
45,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),15.0,3,5.0,20.0,4,6.0
46,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),25.0,5,7.0,30.0,6,8.0
47,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),30.0,4,8.0,25.0,5,7.0
48,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),20.0,4,6.0,25.0,5,7.0
49,Coffee Bean Weight (g),Brew Time (min),Strength (1-10),25.0,6,7.0,30.0,7,8.0
50,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),30.0,6,5.0,40.0,5,6.0
51,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),40.0,5,6.0,30.0,6,5.0
52,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),20.0,7,4.0,30.0,6,5.0
53,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),50.0,4,7.0,40.0,5,6.0
54,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),30.0,8,5.0,40.0,7,6.0
55,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),25.0,6,4.0,35.0,5,5.0
56,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),40.0,7,6.0,30.0,6,5.0
57,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),35.0,5,5.0,45.0,6,6.0
58,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),20.0,5,3.0,30.0,6,4.0
59,Plant Height (cm),Sunlight (hours/day),Growth Rate (cm/week),30.0,4,4.0,40.0,5,5.0
60,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),3000.0,70,8.0,4000.0,60,10.0
61,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),4000.0,60,10.0,3000.0,70,8.0
62,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),2500.0,80,6.0,3500.0,70,8.0
63,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),3500.0,70,9.0,4500.0,60,11.0
64,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),4000.0,80,9.0,3000.0,70,8.0
65,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),2000.0,70,5.0,3000.0,60,7.0
66,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),3500.0,60,9.0,4500.0,70,10.0
67,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),4500.0,70,10.0,3500.0,60,9.0
68,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),3000.0,60,8.0,4000.0,70,9.0
69,Phone Battery (mAh),Screen Brightness (%),Battery Life (hours),2500.0,60,6.0,3500.0,70,8.0
70,Room Size (m2),Number of Windows,Cooling Time (min),20.0,2,15.0,30.0,3,12.0
71,Room Size (m2),Number of Windows,Cooling Time (min),30.0,3,12.0,20.0,2,15.0
72,Room Size (m2),Number of Windows,Cooling Time (min),25.0,1,18.0,35.0,2,14.0
73,Room Size (m2),Number of Windows,Cooling Time (min),35.0,2,14.0,25.0,1,18.0
74,Room Size (m2),Number of Windows,Cooling Time (min),40.0,4,10.0,30.0,3,12.0
75,Room Size (m2),Number of Windows,Cooling Time (min),25.0,3,13.0,35.0,4,11.0
76,Room Size (m2),Number of Windows,Cooling Time (min),30.0,2,14.0,40.0,3,11.0
77,Room Size (m2),Number of Windows,Cooling Time (min),40.0,3,11.0,30.0,2,14.0
78,Room Size (m2),Number of Windows,Cooling Time (min),20.0,1,20.0,30.0,2,15.0
79,Room Size (m2),Number of Windows,Cooling Time (min),30.0,2,15.0,40.0,3,11.0
80,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),2.0,3,8.0,3.0,5,7.0
81,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),3.0,5,7.0,2.0,3,8.0
82,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),1.5,2,9.0,2.5,4,7.0
83,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),2.5,4,7.0,1.5,2,9.0
84,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),4.0,6,5.0,3.0,5,6.0
85,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),3.0,5,6.0,4.0,6,5.0
86,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),2.0,2,8.0,3.0,4,7.0
87,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),3.0,4,7.0,2.0,2,8.0
88,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),1.5,1,9.0,2.5,3,8.0
89,Bag Weight (kg),Number of Compartments,Ease of Use (1-10),2.5,3,8.0,1.5,1,9.0
90,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),9.0,6,8.0,10.0,5,7.0
91,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),10.0,5,7.0,9.0,6,8.0
92,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),8.0,7,9.0,9.0,6,8.0
93,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),9.0,6,8.0,8.0,7,9.0
94,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),10.0,4,7.0,9.0,5,8.0
95,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),9.0,5,8.0,10.0,4,7.0
96,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),8.0,8,9.0,9.0,7,8.0
97,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),9.0,7,8.0,8.0,8,9.0
98,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),10.0,6,7.0,9.0,5,8.0
99,Shoe Width (cm),Arch Support (1-10),Comfort (1-10),9.0,5,8.0,10.0,6,7.0
100,Car Engine Power,Car Weight,Car Speed,200.0,2000,180.0,150.0,1800,150.0
101,Car Engine Power,Car Weight,Car Speed,250.0,2200,190.0,200.0,2000,180.0
102,Car Engine Power,Car Weight,Car Speed,300.0,2500,200.0,250.0,2200,190.0
103,Car Engine Power,Car Weight,Car Speed,350.0,2800,210.0,300.0,2500,200.0
104,Car Engine Power,Car Weight,Car Speed,400.0,3000,220.0,350.0,2800,210.0
105,Car Engine Power,Car Weight,Car Speed,450.0,3200,230.0,400.0,3000,220.0
106,Car Engine Power,Car Weight,Car Speed,500.0,3500,240.0,450.0,3200,230.0
107,Car Engine Power,Car Weight,Car Speed,550.0,3700,250.0,500.0,3500,240.0
108,Car Engine Power,Car Weight,Car Speed,600.0,4000,260.0,550.0,3700,250.0
109,Car Engine Power,Car Weight,Car Speed,650.0,4200,270.0,600.0,4000,260.0
110,Student Study Hours,Student Distractions,Student Exam Score,10.0,2,85.0,8.0,3,80.0
111,Student Study Hours,Student Distractions,Student Exam Score,12.0,1,88.0,10.0,2,85.0
112,Student Study Hours,Student Distractions,Student Exam Score,14.0,0,90.0,12.0,1,88.0
113,Student Study Hours,Student Distractions,Student Exam Score,8.0,4,78.0,6.0,5,75.0
114,Student Study Hours,Student Distractions,Student Exam Score,6.0,5,75.0,4.0,6,72.0
115,Student Study Hours,Student Distractions,Student Exam Score,4.0,6,72.0,2.0,7,70.0
116,Student Study Hours,Student Distractions,Student Exam Score,2.0,7,70.0,0.0,8,65.0
117,Student Study Hours,Student Distractions,Student Exam Score,16.0,0,92.0,14.0,0,90.0
118,Student Study Hours,Student Distractions,Student Exam Score,18.0,1,93.0,16.0,0,92.0
119,Student Study Hours,Student Distractions,Student Exam Score,20.0,2,94.0,18.0,1,93.0
120,House Square Feet,House Age,House Price,2000.0,10,350000.0,1800.0,15,300000.0
121,House Square Feet,House Age,House Price,2200.0,8,380000.0,2000.0,10,350000.0
122,House Square Feet,House Age,House Price,2400.0,5,400000.0,2200.0,8,380000.0
123,House Square Feet,House Age,House Price,1600.0,20,280000.0,1400.0,25,250000.0
124,House Square Feet,House Age,House Price,1400.0,25,250000.0,1200.0,30,220000.0
125,House Square Feet,House Age,House Price,1200.0,30,220000.0,1000.0,35,200000.0
126,House Square Feet,House Age,House Price,1000.0,35,200000.0,800.0,40,180000.0
127,House Square Feet,House Age,House Price,2600.0,3,420000.0,2400.0,5,400000.0
128,House Square Feet,House Age,House Price,2800.0,2,440000.0,2600.0,3,420000.0
129,House Square Feet,House Age,House Price,3000.0,1,460000.0,2800.0,2,440000.0
130,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,9.0,30,8.0,7.0,45,7.0
131,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,8.0,40,7.5,6.0,50,7.0
132,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,7.0,50,7.0,5.0,60,6.5
133,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,10.0,20,8.5,8.0,30,8.0
134,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,6.0,60,6.5,4.0,70,6.0
135,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,5.0,70,6.0,3.0,80,5.5
136,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,4.0,80,5.5,2.0,90,5.0
137,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,3.0,90,5.0,1.0,100,4.5
138,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,10.0,10,9.0,9.0,20,8.5
139,Recipe Ingredient Quality,Recipe Preparation Time,Recipe Taste Score,9.0,20,8.5,8.0,30,8.0
140,Book Page Count,Book Reading Speed,Book Enjoyment Score,400.0,30,8.2,300.0,40,7.8
141,Book Page Count,Book Reading Speed,Book Enjoyment Score,500.0,25,8.5,400.0,30,8.2
142,Book Page Count,Book Reading Speed,Book Enjoyment Score,600.0,20,8.8,500.0,25,8.5
143,Book Page Count,Book Reading Speed,Book Enjoyment Score,300.0,50,7.5,200.0,60,7.2
144,Book Page Count,Book Reading Speed,Book Enjoyment Score,200.0,60,7.2,100.0,70,7.0
145,Book Page Count,Book Reading Speed,Book Enjoyment Score,100.0,70,7.0,50.0,80,6.8
146,Book Page Count,Book Reading Speed,Book Enjoyment Score,50.0,80,6.8,25.0,90,6.5
147,Book Page Count,Book Reading Speed,Book Enjoyment Score,600.0,15,9.0,500.0,20,8.8
148,Book Page Count,Book Reading Speed,Book Enjoyment Score,700.0,10,9.2,600.0,15,9.0
149,Book Page Count,Book Reading Speed,Book Enjoyment Score,800.0,5,9.5,700.0,10,9.2
150,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,3.5,4000,8.7,3.0,4500,8.5
151,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,4.0,3500,9.0,3.5,4000,8.7
152,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,4.5,3000,9.3,4.0,3500,9.0
153,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,3.0,5000,8.4,2.5,5500,8.2
154,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,2.5,5500,8.2,2.0,6000,8.0
155,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,2.0,6000,8.0,1.5,6500,7.8
156,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,1.5,6500,7.8,1.0,7000,7.5
157,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,5.0,2500,9.6,4.5,3000,9.3
158,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,5.5,2000,9.9,5.0,2500,9.6
159,Phone Processor Speed,Phone Battery Capacity,Phone Performance Score,6.0,1500,10.2,5.5,2000,9.9
160,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,50.0,15,4.2,40.0,20,4.0
161,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,60.0,10,4.5,50.0,15,4.2
162,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,70.0,5,4.8,60.0,10,4.5
163,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,40.0,25,3.8,30.0,30,3.6
164,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,30.0,30,3.6,20.0,35,3.4
165,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,20.0,35,3.4,10.0,40,3.2
166,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,10.0,40,3.2,0.0,45,3.0
167,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,80.0,0,5.0,70.0,5,4.8
168,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,90.0,0,5.2,80.0,0,5.0
169,Restaurant Menu Variety,Restaurant Wait Time,Restaurant Rating,100.0,0,5.4,90.0,0,5.2
170,Dog Training Hours,Dog Distractions,Dog Obedience Score,10.0,2,8.5,8.0,3,8.0
171,Dog Training Hours,Dog Distractions,Dog Obedience Score,12.0,1,8.8,10.0,2,8.5
172,Dog Training Hours,Dog Distractions,Dog Obedience Score,14.0,0,9.0,12.0,1,8.8
173,Dog Training Hours,Dog Distractions,Dog Obedience Score,8.0,4,7.8,6.0,5,7.5
174,Dog Training Hours,Dog Distractions,Dog Obedience Score,6.0,5,7.5,4.0,6,7.2
175,Dog Training Hours,Dog Distractions,Dog Obedience Score,4.0,6,7.2,2.0,7,7.0
176,Dog Training Hours,Dog Distractions,Dog Obedience Score,2.0,7,7.0,0.0,8,6.5
177,Dog Training Hours,Dog Distractions,Dog Obedience Score,16.0,0,9.2,14.0,0,9.0
178,Dog Training Hours,Dog Distractions,Dog Obedience Score,18.0,1,9.3,16.0,0,9.2
179,Dog Training Hours,Dog Distractions,Dog Obedience Score,20.0,2,9.4,18.0,1,9.3
180,Exercise Intensity,Exercise Duration,Exercise Burned Calories,7.0,30,300.0,6.0,40,280.0
181,Exercise Intensity,Exercise Duration,Exercise Burned Calories,8.0,25,320.0,7.0,30,300.0
182,Exercise Intensity,Exercise Duration,Exercise Burned Calories,9.0,20,340.0,8.0,25,320.0
183,Exercise Intensity,Exercise Duration,Exercise Burned Calories,6.0,50,270.0,5.0,60,250.0
184,Exercise Intensity,Exercise Duration,Exercise Burned Calories,5.0,60,250.0,4.0,70,230.0
185,Exercise Intensity,Exercise Duration,Exercise Burned Calories,4.0,70,230.0,3.0,80,210.0
186,Exercise Intensity,Exercise Duration,Exercise Burned Calories,3.0,80,210.0,2.0,90,190.0
187,Exercise Intensity,Exercise Duration,Exercise Burned Calories,10.0,10,360.0,9.0,20,340.0
188,Exercise Intensity,Exercise Duration,Exercise Burned Calories,11.0,5,380.0,10.0,10,360.0
189,Exercise Intensity,Exercise Duration,Exercise Burned Calories,12.0,0,400.0,11.0,5,380.0
190,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,9.0,3,8.5,7.0,5,8.0
191,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,8.0,4,8.3,6.0,6,8.0
192,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,7.0,5,8.0,5.0,7,7.8
193,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,10.0,2,8.7,8.0,4,8.3
194,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,6.0,6,7.8,4.0,8,7.5
195,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,5.0,7,7.5,3.0,9,7.2
196,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,4.0,8,7.2,2.0,10,7.0
197,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,11.0,1,9.0,10.0,2,8.7
198,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,12.0,0,9.2,11.0,1,9.0
199,Coffee Bean Quality,Coffee Preparation Time,Coffee Taste Score,13.0,0,9.4,12.0,0,9.2
200,Engine Size,Horsepower,Fuel Efficiency,2.0,250,22.0,2.5,300,18.0
201,Engine Size,Horsepower,Fuel Efficiency,1.6,180,30.0,2.0,220,25.0
202,Engine Size,Horsepower,Fuel Efficiency,3.0,350,15.0,2.4,300,17.0
203,Engine Size,Horsepower,Fuel Efficiency,1.4,150,35.0,1.8,170,30.0
204,Engine Size,Horsepower,Fuel Efficiency,2.2,260,20.0,2.8,310,16.0
205,Engine Size,Horsepower,Fuel Efficiency,1.8,200,28.0,2.2,240,24.0
206,Engine Size,Horsepower,Fuel Efficiency,2.0,220,23.0,2.4,260,20.0
207,Engine Size,Horsepower,Fuel Efficiency,1.5,160,36.0,1.7,170,34.0
208,Engine Size,Horsepower,Fuel Efficiency,2.4,280,19.0,2.6,300,17.0
209,Engine Size,Horsepower,Fuel Efficiency,1.6,190,32.0,1.8,210,29.0
210,Study Time,Coffee Consumption,Exam Score,5.0,3,80.0,4.0,5,75.0
211,Study Time,Coffee Consumption,Exam Score,6.0,2,85.0,5.0,4,82.0
212,Study Time,Coffee Consumption,Exam Score,3.0,4,70.0,4.0,6,65.0
213,Study Time,Coffee Consumption,Exam Score,7.0,1,90.0,6.0,3,88.0
214,Study Time,Coffee Consumption,Exam Score,4.0,5,78.0,5.0,7,72.0
215,Study Time,Coffee Consumption,Exam Score,8.0,2,95.0,7.0,4,92.0
216,Study Time,Coffee Consumption,Exam Score,5.0,3,83.0,6.0,5,79.0
217,Study Time,Coffee Consumption,Exam Score,6.0,4,86.0,5.0,6,80.0
218,Study Time,Coffee Consumption,Exam Score,4.0,2,75.0,3.0,4,70.0
219,Study Time,Coffee Consumption,Exam Score,7.0,3,90.0,6.0,5,85.0
220,House Size,Bedrooms,Price,2000.0,3,350000.0,1800.0,4,330000.0
221,House Size,Bedrooms,Price,2200.0,2,400000.0,2000.0,3,380000.0
222,House Size,Bedrooms,Price,1800.0,4,320000.0,1600.0,5,300000.0
223,House Size,Bedrooms,Price,2400.0,3,450000.0,2200.0,4,430000.0
224,House Size,Bedrooms,Price,2100.0,2,420000.0,1900.0,3,400000.0
225,House Size,Bedrooms,Price,1900.0,5,340000.0,1700.0,6,320000.0
226,House Size,Bedrooms,Price,2300.0,2,440000.0,2100.0,3,420000.0
227,House Size,Bedrooms,Price,2000.0,4,360000.0,1800.0,5,340000.0
228,House Size,Bedrooms,Price,2200.0,3,410000.0,2000.0,4,390000.0
229,House Size,Bedrooms,Price,2100.0,5,370000.0,1900.0,6,350000.0
230,Age,Exercise Frequency,Health Index,30.0,5,90.0,40.0,3,85.0
231,Age,Exercise Frequency,Health Index,50.0,2,70.0,60.0,1,65.0
232,Age,Exercise Frequency,Health Index,25.0,4,88.0,35.0,3,83.0
233,Age,Exercise Frequency,Health Index,45.0,3,80.0,55.0,2,75.0
234,Age,Exercise Frequency,Health Index,60.0,1,68.0,70.0,0,63.0
235,Age,Exercise Frequency,Health Index,35.0,4,85.0,45.0,3,80.0
236,Age,Exercise Frequency,Health Index,40.0,2,78.0,50.0,1,73.0
237,Age,Exercise Frequency,Health Index,28.0,5,92.0,38.0,4,88.0
238,Age,Exercise Frequency,Health Index,55.0,2,76.0,65.0,1,71.0
239,Age,Exercise Frequency,Health Index,30.0,3,84.0,40.0,2,80.0
240,Distance,Speed,Travel Time,100.0,60,1.67,120.0,50,2.4
241,Distance,Speed,Travel Time,80.0,40,2.0,100.0,30,3.33
242,Distance,Speed,Travel Time,60.0,30,2.0,80.0,20,4.0
243,Distance,Speed,Travel Time,150.0,75,2.0,180.0,60,3.0
244,Distance,Speed,Travel Time,90.0,45,2.0,110.0,35,3.14
245,Distance,Speed,Travel Time,70.0,35,2.0,90.0,25,3.6
246,Distance,Speed,Travel Time,120.0,60,2.0,140.0,50,2.8
247,Distance,Speed,Travel Time,50.0,25,2.0,70.0,20,3.5
248,Distance,Speed,Travel Time,110.0,55,2.0,130.0,45,2.89
249,Distance,Speed,Travel Time,100.0,50,2.0,120.0,40,3.0
250,Weight,Protein Intake,Muscle Gain,70.0,20,2.0,80.0,15,1.5
251,Weight,Protein Intake,Muscle Gain,65.0,25,2.5,75.0,20,2.0
252,Weight,Protein Intake,Muscle Gain,80.0,10,1.0,90.0,15,1.5
253,Weight,Protein Intake,Muscle Gain,75.0,30,3.0,85.0,25,2.5
254,Weight,Protein Intake,Muscle Gain,60.0,22,2.2,70.0,17,1.7
255,Weight,Protein Intake,Muscle Gain,85.0,12,1.2,95.0,17,1.7
256,Weight,Protein Intake,Muscle Gain,70.0,28,2.8,80.0,23,2.3
257,Weight,Protein Intake,Muscle Gain,65.0,24,2.4,75.0,19,1.9
258,Weight,Protein Intake,Muscle Gain,80.0,18,1.8,90.0,23,2.3
259,Weight,Protein Intake,Muscle Gain,75.0,26,2.6,85.0,21,2.1
260,Age,Exercise Hours,Heart Health,30.0,3,90.0,40.0,2,85.0
261,Age,Exercise Hours,Heart Health,50.0,1,70.0,60.0,0,65.0
262,Age,Exercise Hours,Heart Health,25.0,4,88.0,35.0,3,83.0
263,Age,Exercise Hours,Heart Health,45.0,2,80.0,55.0,1,75.0
264,Age,Exercise Hours,Heart Health,60.0,0,68.0,70.0,0,63.0
265,Age,Exercise Hours,Heart Health,35.0,3,85.0,45.0,2,80.0
266,Age,Exercise Hours,Heart Health,40.0,1,78.0,50.0,0,73.0
267,Age,Exercise Hours,Heart Health,28.0,5,92.0,38.0,4,88.0
268,Age,Exercise Hours,Heart Health,55.0,1,76.0,65.0,0,71.0
269,Age,Exercise Hours,Heart Health,30.0,2,84.0,40.0,1,80.0
270,Height,Weight,BMI,180.0,70,21.6,170.0,75,25.95
271,Height,Weight,BMI,175.0,65,21.2,165.0,70,25.7
272,Height,Weight,BMI,160.0,60,23.4,150.0,65,28.9
273,Height,Weight,BMI,190.0,80,22.2,180.0,85,26.2
274,Height,Weight,BMI,165.0,68,24.9,155.0,73,30.0
275,Height,Weight,BMI,170.0,72,24.9,160.0,77,30.1
276,Height,Weight,BMI,185.0,85,25.2,175.0,90,29.4
277,Height,Weight,BMI,155.0,55,22.9,145.0,60,28.7
278,Height,Weight,BMI,175.0,75,24.9,165.0,80,29.6
279,Height,Weight,BMI,160.0,68,27.3,150.0,73,32.4
280,Cooking Time,Spice Level,Flavor,30.0,5,7.5,40.0,3,6.0
281,Cooking Time,Spice Level,Flavor,25.0,6,7.0,35.0,4,6.5
282,Cooking Time,Spice Level,Flavor,40.0,2,5.0,50.0,1,4.5
283,Cooking Time,Spice Level,Flavor,35.0,4,6.5,45.0,2,5.5
284,Cooking Time,Spice Level,Flavor,20.0,7,6.0,30.0,5,5.5
285,Cooking Time,Spice Level,Flavor,28.0,3,5.5,38.0,1,4.5
286,Cooking Time,Spice Level,Flavor,32.0,6,7.0,42.0,4,6.5
287,Cooking Time,Spice Level,Flavor,27.0,2,5.0,37.0,1,4.5
288,Cooking Time,Spice Level,Flavor,34.0,5,6.5,44.0,3,6.0
289,Cooking Time,Spice Level,Flavor,29.0,4,6.0,39.0,2,5.5
290,Coffee Amount,Sugar Amount,Taste Rating,3.0,1,7.0,4.0,2,6.5
291,Coffee Amount,Sugar Amount,Taste Rating,2.0,2,6.5,3.0,3,6.0
292,Coffee Amount,Sugar Amount,Taste Rating,4.0,0,5.0,5.0,1,4.5
