,Feature 1 name,Feature 2 name,Feature 3 name,Object 1 Feature 1 value,Object 1 Feature 2 value,Object 1 Feature 3 value,Object 2 Feature 1 value,Object 2 Feature 2 value,Object 2 Feature 3 value
18,Study Time (hours),Difficulty Level,Exam Score,7.0,4.0,77.0,6.0,5.0,74.0
19,Study Time (hours),Difficulty Level,Exam Score,5.0,1.0,80.0,4.0,2.0,78.0
20,Price ($),Size (sq ft),Value,300000.0,2000.0,280000.0,280000.0,1800.0,260000.0
21,Price ($),Size (sq ft),Value,400000.0,2200.0,380000.0,380000.0,2000.0,360000.0
22,Price ($),Size (sq ft),Value,250000.0,1500.0,230000.0,230000.0,1400.0,210000.0
23,Price ($),Size (sq ft),Value,350000.0,2400.0,330000.0,330000.0,2200.0,310000.0
24,Price ($),Size (sq ft),Value,280000.0,1700.0,250000.0,260000.0,1600.0,230000.0
25,Price ($),Size (sq ft),Value,450000.0,2600.0,420000.0,420000.0,2400.0,400000.0
26,Price ($),Size (sq ft),Value,320000.0,1900.0,290000.0,300000.0,1800.0,270000.0
27,Price ($),Size (sq ft),Value,370000.0,2100.0,340000.0,350000.0,2000.0,320000.0
28,Price ($),Size (sq ft),Value,270000.0,1600.0,240000.0,250000.0,1500.0,220000.0
29,Price ($),Size (sq ft),Value,420000.0,2500.0,390000.0,400000.0,2300.0,370000.0
30,Protein (g),Calories,Satiety,20.0,150.0,8.0,18.0,140.0,7.0
31,Protein (g),Calories,Satiety,25.0,200.0,9.0,22.0,180.0,8.0
32,Protein (g),Calories,Satiety,15.0,100.0,6.0,13.0,90.0,5.0
33,Protein (g),Calories,Satiety,30.0,250.0,10.0,28.0,240.0,9.0
34,Protein (g),Calories,Satiety,10.0,80.0,5.0,8.0,70.0,4.0
35,Protein (g),Calories,Satiety,28.0,220.0,9.0,25.0,200.0,8.0
36,Protein (g),Calories,Satiety,18.0,130.0,7.0,16.0,120.0,6.0
37,Protein (g),Calories,Satiety,22.0,180.0,8.0,20.0,160.0,7.0
38,Protein (g),Calories,Satiety,27.0,230.0,9.0,25.0,210.0,8.0
39,Protein (g),Calories,Satiety,19.0,140.0,7.0,17.0,130.0,6.0
40,Distance (miles),Speed (mph),Travel Time (min),10.0,60.0,10.0,12.0,50.0,14.0
41,Distance (miles),Speed (mph),Travel Time (min),20.0,70.0,17.0,25.0,60.0,25.0
42,Distance (miles),Speed (mph),Travel Time (min),15.0,50.0,18.0,18.0,45.0,24.0
43,Distance (miles),Speed (mph),Travel Time (min),25.0,80.0,19.0,30.0,70.0,26.0
44,Distance (miles),Speed (mph),Travel Time (min),12.0,40.0,18.0,14.0,35.0,20.0
45,Distance (miles),Speed (mph),Travel Time (min),18.0,65.0,17.0,20.0,60.0,20.0
46,Distance (miles),Speed (mph),Travel Time (min),22.0,55.0,24.0,24.0,50.0,29.0
47,Distance (miles),Speed (mph),Travel Time (min),16.0,70.0,14.0,18.0,65.0,16.0
48,Distance (miles),Speed (mph),Travel Time (min),20.0,60.0,20.0,22.0,55.0,24.0
49,Distance (miles),Speed (mph),Travel Time (min),14.0,50.0,17.0,16.0,45.0,21.0
50,Height (in),Weight (lbs),BMI,70.0,180.0,23.0,68.0,170.0,22.0
51,Height (in),Weight (lbs),BMI,65.0,160.0,24.0,63.0,150.0,23.0
52,Height (in),Weight (lbs),BMI,72.0,200.0,25.0,70.0,190.0,24.0
53,Height (in),Weight (lbs),BMI,68.0,190.0,26.0,66.0,180.0,25.0
54,Height (in),Weight (lbs),BMI,60.0,140.0,25.0,58.0,130.0,24.0
55,Height (in),Weight (lbs),BMI,64.0,170.0,26.0,62.0,160.0,25.0
56,Height (in),Weight (lbs),BMI,70.0,210.0,27.0,68.0,200.0,26.0
57,Height (in),Weight (lbs),BMI,66.0,180.0,26.0,64.0,170.0,25.0
58,Height (in),Weight (lbs),BMI,62.0,150.0,25.0,60.0,140.0,24.0
59,Height (in),Weight (lbs),BMI,72.0,220.0,27.0,70.0,210.0,26.0
60,Temperature (°F),Humidity (%),Comfort Index,75.0,30.0,78.0,70.0,35.0,74.0
61,Temperature (°F),Humidity (%),Comfort Index,80.0,40.0,82.0,75.0,45.0,79.0
62,Temperature (°F),Humidity (%),Comfort Index,70.0,20.0,72.0,65.0,25.0,69.0
63,Temperature (°F),Humidity (%),Comfort Index,85.0,50.0,85.0,80.0,55.0,82.0
64,Temperature (°F),Humidity (%),Comfort Index,65.0,15.0,68.0,60.0,20.0,65.0
65,Temperature (°F),Humidity (%),Comfort Index,72.0,25.0,75.0,68.0,30.0,72.0
66,Temperature (°F),Humidity (%),Comfort Index,78.0,45.0,80.0,74.0,50.0,77.0
67,Temperature (°F),Humidity (%),Comfort Index,68.0,20.0,70.0,64.0,25.0,67.0
68,Temperature (°F),Humidity (%),Comfort Index,82.0,60.0,86.0,78.0,65.0,83.0
69,Temperature (°F),Humidity (%),Comfort Index,70.0,35.0,73.0,66.0,40.0,70.0
70,Age (years),Mileage (miles),Car Value ($),5.0,50000.0,15000.0,6.0,60000.0,14000.0
71,Age (years),Mileage (miles),Car Value ($),3.0,30000.0,20000.0,4.0,40000.0,18000.0
72,Age (years),Mileage (miles),Car Value ($),7.0,70000.0,12000.0,8.0,80000.0,11000.0
73,Age (years),Mileage (miles),Car Value ($),2.0,20000.0,25000.0,3.0,30000.0,23000.0
74,Age (years),Mileage (miles),Car Value ($),4.0,45000.0,17000.0,5.0,55000.0,15000.0
75,Age (years),Mileage (miles),Car Value ($),6.0,65000.0,13000.0,7.0,75000.0,12000.0
76,Age (years),Mileage (miles),Car Value ($),1.0,10000.0,30000.0,2.0,20000.0,28000.0
77,Age (years),Mileage (miles),Car Value ($),8.0,85000.0,10000.0,9.0,95000.0,9000.0
78,Age (years),Mileage (miles),Car Value ($),5.0,55000.0,14000.0,6.0,65000.0,13000.0
79,Age (years),Mileage (miles),Car Value ($),3.0,35000.0,19000.0,4.0,45000.0,17000.0
80,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.5,30.0,8.0,6.1,25.0,7.0
81,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.7,35.0,9.0,6.3,30.0,8.0
82,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.1,20.0,7.0,5.8,18.0,6.0
83,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.8,40.0,9.0,6.5,35.0,8.0
84,Screen Size (inches),Battery Life (hours),Phone Satisfaction,5.5,25.0,7.0,5.2,20.0,6.0
85,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.6,32.0,8.0,6.3,28.0,7.0
86,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.4,30.0,8.0,6.0,26.0,7.0
87,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.9,38.0,9.0,6.6,34.0,8.0
88,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.2,28.0,7.0,5.9,24.0,6.0
89,Screen Size (inches),Battery Life (hours),Phone Satisfaction,6.5,33.0,8.0,6.2,29.0,7.0
90,Room Size (sq ft),Noise Level (dB),Comfort Rating,200.0,40.0,8.0,180.0,45.0,7.0
91,Room Size (sq ft),Noise Level (dB),Comfort Rating,250.0,35.0,9.0,230.0,40.0,8.0
92,Room Size (sq ft),Noise Level (dB),Comfort Rating,150.0,50.0,6.0,130.0,55.0,5.0
93,Room Size (sq ft),Noise Level (dB),Comfort Rating,300.0,30.0,9.0,280.0,35.0,8.0
94,Room Size (sq ft),Noise Level (dB),Comfort Rating,180.0,45.0,7.0,160.0,50.0,6.0
95,Room Size (sq ft),Noise Level (dB),Comfort Rating,220.0,38.0,8.0,200.0,43.0,7.0
96,Room Size (sq ft),Noise Level (dB),Comfort Rating,240.0,36.0,8.0,220.0,41.0,7.0
97,Room Size (sq ft),Noise Level (dB),Comfort Rating,260.0,32.0,9.0,240.0,37.0,8.0
98,Room Size (sq ft),Noise Level (dB),Comfort Rating,190.0,47.0,7.0,170.0,52.0,6.0
99,Room Size (sq ft),Noise Level (dB),Comfort Rating,210.0,39.0,8.0,190.0,44.0,7.0
100,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),4000.0,6.1,24.0,3000.0,6.5,20.0
101,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),5000.0,6.2,28.0,4500.0,6.8,26.0
102,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),3500.0,5.8,18.0,4000.0,6.0,22.0
103,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),4200.0,6.3,25.0,4400.0,6.1,26.0
104,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),3800.0,6.5,23.0,3900.0,6.3,24.0
105,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),4100.0,6.0,24.0,4000.0,6.6,25.0
106,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),4800.0,6.4,29.0,4700.0,6.7,28.0
107,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),3700.0,6.2,21.0,3600.0,6.5,20.0
108,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),5100.0,6.3,30.0,5000.0,6.5,29.0
109,Phone battery capacity (mAh),Screen size (inches),Phone battery life (hours),4500.0,6.4,26.0,4600.0,6.2,27.0
110,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),250.0,1500.0,6.0,300.0,1800.0,5.8
111,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),320.0,1600.0,5.5,350.0,1900.0,5.3
112,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),200.0,1400.0,6.8,220.0,1600.0,6.5
113,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),280.0,1700.0,6.1,300.0,1800.0,5.9
114,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),240.0,1300.0,6.3,230.0,1500.0,6.5
115,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),310.0,1800.0,5.7,330.0,1900.0,5.6
116,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),260.0,1500.0,6.2,270.0,1600.0,6.1
117,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),290.0,1700.0,5.9,310.0,1800.0,5.8
118,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),340.0,1900.0,5.4,360.0,2000.0,5.3
119,Car engine power (hp),Car weight (kg),Car acceleration (0-60 mph in seconds),270.0,1400.0,6.4,280.0,1500.0,6.3
120,Number of bedrooms,House size (sq ft),House price ($),3.0,1500.0,250000.0,4.0,1600.0,300000.0
121,Number of bedrooms,House size (sq ft),House price ($),4.0,1800.0,350000.0,5.0,1700.0,380000.0
122,Number of bedrooms,House size (sq ft),House price ($),2.0,1200.0,200000.0,3.0,1400.0,240000.0
123,Number of bedrooms,House size (sq ft),House price ($),5.0,2000.0,400000.0,4.0,2200.0,390000.0
124,Number of bedrooms,House size (sq ft),House price ($),3.0,1600.0,260000.0,4.0,1700.0,290000.0
125,Number of bedrooms,House size (sq ft),House price ($),4.0,1900.0,360000.0,5.0,2000.0,410000.0
126,Number of bedrooms,House size (sq ft),House price ($),2.0,1300.0,210000.0,3.0,1400.0,230000.0
127,Number of bedrooms,House size (sq ft),House price ($),5.0,2100.0,420000.0,4.0,2000.0,380000.0
128,Number of bedrooms,House size (sq ft),House price ($),3.0,1700.0,270000.0,4.0,1800.0,310000.0
129,Number of bedrooms,House size (sq ft),House price ($),4.0,1600.0,320000.0,5.0,1700.0,360000.0
130,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),8.0,20.0,15.0,7.0,30.0,16.0
131,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),9.0,25.0,14.0,10.0,22.0,13.0
132,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),7.0,18.0,17.0,8.0,20.0,16.0
133,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),10.0,28.0,12.0,9.0,30.0,13.0
134,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),8.0,22.0,15.0,7.0,24.0,16.0
135,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),9.0,26.0,14.0,10.0,27.0,13.0
136,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),7.0,19.0,17.0,8.0,21.0,16.0
137,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),10.0,30.0,12.0,9.0,28.0,13.0
138,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),8.0,24.0,15.0,9.0,25.0,14.0
139,Speed of runner (mph),Distance trained (miles/week),Race time (minutes),9.0,23.0,14.0,10.0,24.0,13.0
140,Study time (hours/week),Number of subjects studied,Exam score (%),10.0,3.0,75.0,12.0,4.0,80.0
141,Study time (hours/week),Number of subjects studied,Exam score (%),8.0,2.0,70.0,9.0,3.0,73.0
142,Study time (hours/week),Number of subjects studied,Exam score (%),12.0,4.0,82.0,14.0,5.0,85.0
143,Study time (hours/week),Number of subjects studied,Exam score (%),6.0,1.0,60.0,7.0,2.0,65.0
144,Study time (hours/week),Number of subjects studied,Exam score (%),9.0,3.0,72.0,10.0,4.0,76.0
145,Study time (hours/week),Number of subjects studied,Exam score (%),11.0,4.0,78.0,13.0,5.0,83.0
146,Study time (hours/week),Number of subjects studied,Exam score (%),7.0,2.0,65.0,8.0,3.0,70.0
147,Study time (hours/week),Number of subjects studied,Exam score (%),13.0,5.0,86.0,15.0,6.0,88.0
148,Study time (hours/week),Number of subjects studied,Exam score (%),10.0,3.0,74.0,11.0,4.0,77.0
149,Study time (hours/week),Number of subjects studied,Exam score (%),8.0,2.0,68.0,9.0,3.0,71.0
150,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),2.0,30.0,5.0,3.0,28.0,6.0
151,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),3.0,35.0,7.0,4.0,33.0,8.0
152,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),1.0,25.0,3.0,2.0,27.0,4.0
153,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),4.0,40.0,9.0,5.0,38.0,10.0
154,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),2.0,32.0,5.0,3.0,30.0,6.0
155,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),3.0,37.0,8.0,4.0,35.0,9.0
156,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),1.0,26.0,3.0,2.0,28.0,4.0
157,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),4.0,42.0,10.0,5.0,40.0,11.0
158,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),2.0,34.0,6.0,3.0,32.0,7.0
159,Amount of fertilizer (kg),Plant size (cm),Plant yield (kg),3.0,39.0,9.0,4.0,37.0,10.0
160,Number of reviews,Rating (stars),Product popularity,100.0,4.5,80.0,200.0,4.3,90.0
161,Number of reviews,Rating (stars),Product popularity,150.0,4.2,85.0,300.0,4.0,95.0
162,Number of reviews,Rating (stars),Product popularity,50.0,4.7,70.0,100.0,4.6,75.0
163,Number of reviews,Rating (stars),Product popularity,200.0,4.4,88.0,400.0,4.1,93.0
164,Number of reviews,Rating (stars),Product popularity,120.0,4.6,82.0,240.0,4.5,87.0
165,Number of reviews,Rating (stars),Product popularity,80.0,4.8,75.0,160.0,4.7,80.0
166,Number of reviews,Rating (stars),Product popularity,180.0,4.3,86.0,360.0,4.2,92.0
167,Number of reviews,Rating (stars),Product popularity,130.0,4.5,83.0,260.0,4.4,88.0
168,Number of reviews,Rating (stars),Product popularity,90.0,4.7,78.0,180.0,4.6,84.0
169,Number of reviews,Rating (stars),Product popularity,250.0,4.4,90.0,500.0,4.0,96.0
170,Engine size (cc),Fuel efficiency (mpg),Car cost ($),2000.0,25.0,30000.0,2500.0,20.0,35000.0
171,Engine size (cc),Fuel efficiency (mpg),Car cost ($),1800.0,30.0,28000.0,2200.0,25.0,32000.0
172,Engine size (cc),Fuel efficiency (mpg),Car cost ($),2200.0,22.0,33000.0,2600.0,18.0,37000.0
173,Engine size (cc),Fuel efficiency (mpg),Car cost ($),1600.0,35.0,25000.0,1900.0,30.0,29000.0
174,Engine size (cc),Fuel efficiency (mpg),Car cost ($),2400.0,20.0,34000.0,2800.0,16.0,38000.0
175,Engine size (cc),Fuel efficiency (mpg),Car cost ($),1900.0,28.0,29000.0,2300.0,24.0,33000.0
176,Engine size (cc),Fuel efficiency (mpg),Car cost ($),2100.0,23.0,31000.0,2500.0,19.0,36000.0
177,Engine size (cc),Fuel efficiency (mpg),Car cost ($),1700.0,32.0,26000.0,2000.0,27.0,30000.0
178,Engine size (cc),Fuel efficiency (mpg),Car cost ($),2300.0,21.0,33000.0,2700.0,17.0,37000.0
179,Engine size (cc),Fuel efficiency (mpg),Car cost ($),1800.0,29.0,28000.0,2200.0,25.0,32000.0
180,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),30.0,5.0,7.0,40.0,6.0,8.0
181,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),25.0,4.0,6.0,35.0,5.0,7.0
182,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),45.0,7.0,9.0,50.0,8.0,10.0
183,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),20.0,3.0,5.0,30.0,4.0,6.0
184,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),35.0,6.0,8.0,45.0,7.0,9.0
185,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),28.0,5.0,7.0,38.0,6.0,8.0
186,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),40.0,8.0,9.0,50.0,9.0,10.0
187,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),22.0,4.0,6.0,32.0,5.0,7.0
188,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),37.0,7.0,8.0,47.0,8.0,9.0
189,Time spent cooking (minutes),Number of ingredients,Taste rating (1-10),26.0,5.0,6.0,36.0,6.0,7.0
190,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),5.0,6.0,10.0,7.0,8.0,12.0
191,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),4.0,5.0,8.0,6.0,7.0,10.0
192,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),6.0,7.0,11.0,8.0,9.0,13.0
193,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),3.0,4.0,6.0,5.0,6.0,8.0
194,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),5.0,6.0,10.0,6.0,7.0,11.0
195,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),4.0,5.0,8.0,5.0,6.0,9.0
196,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),7.0,8.0,12.0,9.0,10.0,14.0
197,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),3.0,4.0,6.0,4.0,5.0,7.0
198,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),6.0,7.0,11.0,7.0,8.0,12.0
199,Amount of water (liters),Sunlight (hours/day),Garden growth (cm/week),5.0,6.0,10.0,7.0,7.0,11.0
200,Car Horsepower,Car Weight,Car Speed,300.0,2000.0,120.0,200.0,1800.0,100.0
201,Car Horsepower,Car Weight,Car Speed,350.0,2200.0,130.0,250.0,2000.0,110.0
202,Car Horsepower,Car Weight,Car Speed,400.0,2400.0,140.0,300.0,2200.0,120.0
203,Car Horsepower,Car Weight,Car Speed,450.0,2600.0,150.0,350.0,2400.0,130.0
204,Car Horsepower,Car Weight,Car Speed,500.0,2800.0,160.0,400.0,2600.0,140.0
205,Car Horsepower,Car Weight,Car Speed,550.0,3000.0,170.0,450.0,2800.0,150.0
206,Car Horsepower,Car Weight,Car Speed,600.0,3200.0,180.0,500.0,3000.0,160.0
207,Car Horsepower,Car Weight,Car Speed,650.0,3400.0,190.0,550.0,3200.0,170.0
208,Car Horsepower,Car Weight,Car Speed,700.0,3600.0,200.0,600.0,3400.0,180.0
209,Car Horsepower,Car Weight,Car Speed,750.0,3800.0,210.0,650.0,3600.0,190.0
210,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,5000.0,6.5,24.0,4000.0,6.0,20.0
211,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,6000.0,7.0,28.0,5000.0,6.5,24.0
212,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,7000.0,7.5,32.0,6000.0,7.0,28.0
213,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,8000.0,8.0,36.0,7000.0,7.5,32.0
214,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,9000.0,8.5,40.0,8000.0,8.0,36.0
215,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,10000.0,9.0,44.0,9000.0,8.5,40.0
216,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,11000.0,9.5,48.0,10000.0,9.0,44.0
217,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,12000.0,10.0,52.0,11000.0,9.5,48.0
218,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,13000.0,10.5,56.0,12000.0,10.0,52.0
219,Phone Battery Capacity,Phone Screen Size,Phone Usage Time,14000.0,11.0,60.0,13000.0,10.5,56.0
220,Meal Calories,Meal Protein (g),Meal Energy Boost,500.0,20.0,40.0,400.0,18.0,35.0
221,Meal Calories,Meal Protein (g),Meal Energy Boost,600.0,25.0,45.0,500.0,22.0,40.0
222,Meal Calories,Meal Protein (g),Meal Energy Boost,700.0,30.0,50.0,600.0,26.0,45.0
223,Meal Calories,Meal Protein (g),Meal Energy Boost,800.0,35.0,55.0,700.0,30.0,50.0
224,Meal Calories,Meal Protein (g),Meal Energy Boost,900.0,40.0,60.0,800.0,34.0,55.0
225,Meal Calories,Meal Protein (g),Meal Energy Boost,1000.0,45.0,65.0,900.0,38.0,60.0
226,Meal Calories,Meal Protein (g),Meal Energy Boost,1100.0,50.0,70.0,1000.0,42.0,65.0
227,Meal Calories,Meal Protein (g),Meal Energy Boost,1200.0,55.0,75.0,1100.0,46.0,70.0
228,Meal Calories,Meal Protein (g),Meal Energy Boost,1300.0,60.0,80.0,1200.0,50.0,75.0
229,Meal Calories,Meal Protein (g),Meal Energy Boost,1400.0,65.0,85.0,1300.0,54.0,80.0
230,Book Page Count,Book Rating (1-10),Book Enjoyment,400.0,8.0,7.0,350.0,7.0,6.0
231,Book Page Count,Book Rating (1-10),Book Enjoyment,500.0,9.0,8.0,450.0,8.0,7.0
232,Book Page Count,Book Rating (1-10),Book Enjoyment,600.0,10.0,9.0,550.0,9.0,8.0
233,Book Page Count,Book Rating (1-10),Book Enjoyment,700.0,7.0,7.0,650.0,8.0,8.0
234,Book Page Count,Book Rating (1-10),Book Enjoyment,800.0,8.0,8.0,750.0,7.0,7.0
235,Book Page Count,Book Rating (1-10),Book Enjoyment,900.0,9.0,9.0,850.0,8.0,8.0
236,Book Page Count,Book Rating (1-10),Book Enjoyment,1000.0,10.0,10.0,950.0,9.0,9.0
237,Book Page Count,Book Rating (1-10),Book Enjoyment,1100.0,7.0,8.0,1050.0,8.0,9.0
238,Book Page Count,Book Rating (1-10),Book Enjoyment,1200.0,8.0,9.0,1150.0,7.0,8.0
239,Book Page Count,Book Rating (1-10),Book Enjoyment,1300.0,9.0,10.0,1250.0,8.0,9.0
240,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,200.0,7.0,6.0,180.0,6.0,5.0
241,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,220.0,8.0,7.0,200.0,7.0,6.0
242,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,240.0,9.0,8.0,220.0,8.0,7.0
243,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,260.0,10.0,9.0,240.0,9.0,8.0
244,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,280.0,6.0,6.0,260.0,7.0,7.0
245,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,300.0,7.0,7.0,280.0,6.0,6.0
246,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,320.0,8.0,8.0,300.0,7.0,7.0
247,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,340.0,9.0,9.0,320.0,8.0,8.0
248,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,360.0,10.0,10.0,340.0,9.0,9.0
249,Shoe Weight (g),Shoe Cushion (1-10),Shoe Comfort,380.0,6.0,6.0,360.0,7.0,7.0
250,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,6.0,500.0,40.0,5.0,450.0,35.0
251,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,7.0,600.0,45.0,6.0,550.0,40.0
252,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,8.0,700.0,50.0,7.0,650.0,45.0
253,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,9.0,800.0,55.0,8.0,750.0,50.0
254,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,10.0,900.0,60.0,9.0,850.0,55.0
255,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,11.0,1000.0,65.0,10.0,950.0,60.0
256,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,12.0,1100.0,70.0,11.0,1050.0,65.0
257,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,13.0,1200.0,75.0,12.0,1150.0,70.0
258,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,14.0,1300.0,80.0,13.0,1250.0,75.0
259,Plant Sun Exposure (hours),Plant Water (ml),Plant Growth,15.0,1400.0,85.0,14.0,1350.0,80.0
260,Dog Weight (kg),Dog Activity Level (1-10),Dog Energy Level,10.0,7.0,6.0,8.0,6.0,5.0
261,Dog Weight (kg),Dog Activity Level (1-10),Dog Energy Level,12.0,8.0,7.0,10.0,7.0,6.0
